block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,10541,14375,16,0,1,layered_block,circular,per_chunk,16,16
1,9584,13375,16,0,1,layered_block,circular,per_chunk,16,16
2,9291,13208,16,0,1,layered_block,circular,per_chunk,16,16
3,8792,12542,16,0,1,layered_block,circular,per_chunk,16,16
4,9334,13250,16,0,1,layered_block,circular,per_chunk,16,16
5,9458,13291,16,0,1,layered_block,circular,per_chunk,16,16
6,9333,13125,16,0,1,layered_block,circular,per_chunk,16,16
7,9625,13417,16,0,1,layered_block,circular,per_chunk,16,16
8,9458,13500,16,0,1,layered_block,circular,per_chunk,16,16
9,9500,13333,16,0,1,layered_block,circular,per_chunk,16,16
10,9042,12792,16,0,1,layered_block,circular,per_chunk,16,16
11,9833,13625,16,0,1,layered_block,circular,per_chunk,16,16
12,9292,13250,16,0,1,layered_block,circular,per_chunk,16,16
13,9166,13250,16,0,1,layered_block,circular,per_chunk,16,16
14,9625,13417,16,0,1,layered_block,circular,per_chunk,16,16
15,9333,13167,16,0,1,layered_block,circular,per_chunk,16,16
16,9458,13542,16,0,1,layered_block,circular,per_chunk,16,16
17,9250,13125,16,0,1,layered_block,circular,per_chunk,16,16
18,9375,13166,16,0,1,layered_block,circular,per_chunk,16,16
19,9583,13458,16,0,1,layered_block,circular,per_chunk,16,16
20,9375,13291,16,0,1,layered_block,circular,per_chunk,16,16
21,9875,13708,16,0,1,layered_block,circular,per_chunk,16,16
22,9792,13625,16,0,1,layered_block,circular,per_chunk,16,16
23,9458,13292,16,0,1,layered_block,circular,per_chunk,16,16
24,9417,13292,16,0,1,layered_block,circular,per_chunk,16,16
25,16625,20542,16,0,1,layered_block,circular,per_chunk,16,16
26,9583,13375,16,0,1,layered_block,circular,per_chunk,16,16
27,9042,12833,16,0,1,layered_block,circular,per_chunk,16,16
28,9709,13584,16,0,1,layered_block,circular,per_chunk,16,16
29,9583,13459,16,0,1,layered_block,circular,per_chunk,16,16
30,9542,13458,16,0,1,layered_block,circular,per_chunk,16,16
31,9541,13375,16,0,1,layered_block,circular,per_chunk,16,16
32,9625,13500,16,0,1,layered_block,circular,per_chunk,16,16
33,15958,19917,16,0,1,layered_block,circular,per_chunk,16,16
34,9583,13375,16,0,1,layered_block,circular,per_chunk,16,16
35,9458,13250,16,0,1,layered_block,circular,per_chunk,16,16
36,9584,13416,16,0,1,layered_block,circular,per_chunk,16,16
37,9375,13292,16,0,1,layered_block,circular,per_chunk,16,16
38,9250,13333,16,0,1,layered_block,circular,per_chunk,16,16
39,9292,13166,16,0,1,layered_block,circular,per_chunk,16,16
40,9334,13417,16,0,1,layered_block,circular,per_chunk,16,16
41,9708,13500,16,0,1,layered_block,circular,per_chunk,16,16
42,8958,12750,16,0,1,layered_block,circular,per_chunk,16,16
43,9541,13333,16,0,1,layered_block,circular,per_chunk,16,16
44,9833,13750,16,0,1,layered_block,circular,per_chunk,16,16
45,9333,13208,16,0,1,layered_block,circular,per_chunk,16,16
46,9375,13209,16,0,1,layered_block,circular,per_chunk,16,16
47,9417,13333,16,0,1,layered_block,circular,per_chunk,16,16
48,9375,13209,16,0,1,layered_block,circular,per_chunk,16,16
49,9333,13125,16,0,1,layered_block,circular,per_chunk,16,16
50,9625,13500,16,0,1,layered_block,circular,per_chunk,16,16
51,9333,13209,16,0,1,layered_block,circular,per_chunk,16,16
52,9458,13333,16,0,1,layered_block,circular,per_chunk,16,16
53,9291,13167,16,0,1,layered_block,circular,per_chunk,16,16
54,9500,13583,16,0,1,layered_block,circular,per_chunk,16,16
55,9458,13500,16,0,1,layered_block,circular,per_chunk,16,16
56,9292,13208,16,0,1,layered_block,circular,per_chunk,16,16
57,9541,13375,16,0,1,layered_block,circular,per_chunk,16,16
58,9083,12833,16,0,1,layered_block,circular,per_chunk,16,16
59,9292,13125,16,0,1,layered_block,circular,per_chunk,16,16
60,9541,13416,16,0,1,layered_block,circular,per_chunk,16,16
61,9666,13542,16,0,1,layered_block,circular,per_chunk,16,16
62,9375,13208,16,0,1,layered_block,circular,per_chunk,16,16
63,9416,13333,16,0,1,layered_block,circular,per_chunk,16,16
64,9375,13292,16,0,1,layered_block,circular,per_chunk,16,16
65,9500,13416,16,0,1,layered_block,circular,per_chunk,16,16
66,9417,13333,16,0,1,layered_block,circular,per_chunk,16,16
67,9292,13125,16,0,1,layered_block,circular,per_chunk,16,16
68,9542,13417,16,0,1,layered_block,circular,per_chunk,16,16
69,9458,13333,16,0,1,layered_block,circular,per_chunk,16,16
70,9500,13417,16,0,1,layered_block,circular,per_chunk,16,16
71,9333,13250,16,0,1,layered_block,circular,per_chunk,16,16
72,8833,12625,16,0,1,layered_block,circular,per_chunk,16,16
73,9500,13292,16,0,1,layered_block,circular,per_chunk,16,16
74,9417,13292,16,0,1,layered_block,circular,per_chunk,16,16
75,9375,13292,16,0,1,layered_block,circular,per_chunk,16,16
76,9709,13583,16,0,1,layered_block,circular,per_chunk,16,16
77,9416,13458,16,0,1,layered_block,circular,per_chunk,16,16
78,9375,13458,16,0,1,layered_block,circular,per_chunk,16,16
79,9292,13125,16,0,1,layered_block,circular,per_chunk,16,16
80,9208,13250,16,0,1,layered_block,circular,per_chunk,16,16
81,9167,13042,16,0,1,layered_block,circular,per_chunk,16,16
82,9583,13417,16,0,1,layered_block,circular,per_chunk,16,16
83,9625,13500,16,0,1,layered_block,circular,per_chunk,16,16
84,8916,12666,16,0,1,layered_block,circular,per_chunk,16,16
85,9292,13209,16,0,1,layered_block,circular,per_chunk,16,16
86,9250,13250,16,0,1,layered_block,circular,per_chunk,16,16
87,9625,13375,16,0,1,layered_block,circular,per_chunk,16,16
88,9083,13208,16,0,1,layered_block,circular,per_chunk,16,16
89,9750,13666,16,0,1,layered_block,circular,per_chunk,16,16
90,9333,13167,16,0,1,layered_block,circular,per_chunk,16,16
91,9375,13292,16,0,1,layered_block,circular,per_chunk,16,16
92,8791,12541,16,0,1,layered_block,circular,per_chunk,16,16
93,9542,13333,16,0,1,layered_block,circular,per_chunk,16,16
94,9417,13375,16,0,1,layered_block,circular,per_chunk,16,16
95,9208,13334,16,0,1,layered_block,circular,per_chunk,16,16
96,9416,13250,16,0,1,layered_block,circular,per_chunk,16,16
97,9167,13291,16,0,1,layered_block,circular,per_chunk,16,16
98,9584,13459,16,0,1,layered_block,circular,per_chunk,16,16
99,9333,13166,16,0,1,layered_block,circular,per_chunk,16,16
100,9334,13291,16,0,0,layered_block,circular,per_chunk,16,16
101,9334,13208,16,0,0,layered_block,circular,per_chunk,16,16
102,9458,13250,16,0,0,layered_block,circular,per_chunk,16,16
103,9375,13291,16,0,0,layered_block,circular,per_chunk,16,16
104,9458,13334,16,0,0,layered_block,circular,per_chunk,16,16
105,9417,13292,16,0,0,layered_block,circular,per_chunk,16,16
106,9375,13291,16,0,0,layered_block,circular,per_chunk,16,16
107,9708,13583,16,0,0,layered_block,circular,per_chunk,16,16
108,9041,12833,16,0,0,layered_block,circular,per_chunk,16,16
109,9584,13500,16,0,0,layered_block,circular,per_chunk,16,16
110,9542,13459,16,0,0,layered_block,circular,per_chunk,16,16
111,9959,14166,16,0,0,layered_block,circular,per_chunk,16,16
112,9417,13292,16,0,0,layered_block,circular,per_chunk,16,16
113,9417,13250,16,0,0,layered_block,circular,per_chunk,16,16
114,10084,14000,16,0,0,layered_block,circular,per_chunk,16,16
115,9458,13291,16,0,0,layered_block,circular,per_chunk,16,16
116,9583,13500,16,0,0,layered_block,circular,per_chunk,16,16
117,9667,13542,16,0,0,layered_block,circular,per_chunk,16,16
118,9666,13458,16,0,0,layered_block,circular,per_chunk,16,16
119,9625,13458,16,0,0,layered_block,circular,per_chunk,16,16
120,9542,13375,16,0,0,layered_block,circular,per_chunk,16,16
121,10917,15084,16,0,0,layered_block,circular,per_chunk,16,16
122,9584,13500,16,0,0,layered_block,circular,per_chunk,16,16
