block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,12791,17208,16,0,1,fused_streaming,circular,persistent,8,8
1,7541,11333,16,0,1,fused_streaming,circular,persistent,8,8
2,6667,10417,16,0,1,fused_streaming,circular,persistent,8,8
3,6708,10458,16,0,1,fused_streaming,circular,persistent,8,8
4,6667,10417,16,0,1,fused_streaming,circular,persistent,8,8
5,6708,10500,16,0,1,fused_streaming,circular,persistent,8,8
6,6750,10542,16,0,1,fused_streaming,circular,persistent,8,8
7,6709,10459,16,0,1,fused_streaming,circular,persistent,8,8
8,6834,10625,16,0,1,fused_streaming,circular,persistent,8,8
9,6708,10500,16,0,1,fused_streaming,circular,persistent,8,8
10,6708,10458,16,0,1,fused_streaming,circular,persistent,8,8
11,6667,10459,16,0,1,fused_streaming,circular,persistent,8,8
12,6667,10458,16,0,1,fused_streaming,circular,persistent,8,8
13,6666,10416,16,0,1,fused_streaming,circular,persistent,8,8
14,6792,10542,16,0,1,fused_streaming,circular,persistent,8,8
15,6875,10625,16,0,1,fused_streaming,circular,persistent,8,8
16,6625,10458,16,0,1,fused_streaming,circular,persistent,8,8
17,6667,10459,16,0,1,fused_streaming,circular,persistent,8,8
18,6875,10667,16,0,1,fused_streaming,circular,persistent,8,8
19,6666,10416,16,0,1,fused_streaming,circular,persistent,8,8
20,6667,10459,16,0,1,fused_streaming,circular,persistent,8,8
21,7084,10834,16,0,1,fused_streaming,circular,persistent,8,8
22,6833,10667,16,0,1,fused_streaming,circular,persistent,8,8
23,6667,10459,16,0,1,fused_streaming,circular,persistent,8,8
24,6667,10417,16,0,1,fused_streaming,circular,persistent,8,8
25,6667,10459,16,0,1,fused_streaming,circular,persistent,8,8
26,12000,15792,16,0,1,fused_streaming,circular,persistent,8,8
27,6667,10459,16,0,1,fused_streaming,circular,persistent,8,8
28,6667,10417,16,0,1,fused_streaming,circular,persistent,8,8
29,6916,10708,16,0,1,fused_streaming,circular,persistent,8,8
30,6917,10667,16,0,1,fused_streaming,circular,persistent,8,8
31,6709,10459,16,0,1,fused_streaming,circular,persistent,8,8
32,6875,10666,16,0,1,fused_streaming,circular,persistent,8,8
33,7250,11042,16,0,1,fused_streaming,circular,persistent,8,8
34,7083,10917,16,0,1,fused_streaming,circular,persistent,8,8
35,6666,10416,16,0,1,fused_streaming,circular,persistent,8,8
36,6917,10667,16,0,1,fused_streaming,circular,persistent,8,8
37,6709,10459,16,0,1,fused_streaming,circular,persistent,8,8
38,6625,10459,16,0,1,fused_streaming,circular,persistent,8,8
39,6667,10458,16,0,1,fused_streaming,circular,persistent,8,8
40,6667,10417,16,0,1,fused_streaming,circular,persistent,8,8
41,6667,10417,16,0,1,fused_streaming,circular,persistent,8,8
42,6750,10500,16,0,1,fused_streaming,circular,persistent,8,8
43,6667,10500,16,0,1,fused_streaming,circular,persistent,8,8
44,6667,10458,16,0,1,fused_streaming,circular,persistent,8,8
45,6667,10500,16,0,1,fused_streaming,circular,persistent,8,8
46,6958,10750,16,0,1,fused_streaming,circular,persistent,8,8
47,6708,10458,16,0,1,fused_streaming,circular,persistent,8,8
48,6708,10500,16,0,1,fused_streaming,circular,persistent,8,8
49,6666,10500,16,0,1,fused_streaming,circular,persistent,8,8
50,6708,10500,16,0,1,fused_streaming,circular,persistent,8,8
51,6709,10500,16,0,1,fused_streaming,circular,persistent,8,8
52,6667,10459,16,0,1,fused_streaming,circular,persistent,8,8
53,6958,10708,16,0,1,fused_streaming,circular,persistent,8,8
54,6708,10542,16,0,1,fused_streaming,circular,persistent,8,8
55,6667,10458,16,0,1,fused_streaming,circular,persistent,8,8
56,6708,10542,16,0,1,fused_streaming,circular,persistent,8,8
57,6750,10541,16,0,1,fused_streaming,circular,persistent,8,8
58,6750,10542,16,0,1,fused_streaming,circular,persistent,8,8
59,6750,10875,16,0,1,fused_streaming,circular,persistent,8,8
