block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,8792,12584,16,0,1,fused_streaming,shift,per_chunk,16,16
1,7541,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
2,7625,11458,16,0,1,fused_streaming,shift,per_chunk,16,16
3,7500,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
4,7542,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
5,7583,11375,16,0,1,fused_streaming,shift,per_chunk,16,16
6,7583,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
7,7458,11208,16,0,1,fused_streaming,shift,per_chunk,16,16
8,7458,11208,16,0,1,fused_streaming,shift,per_chunk,16,16
9,7667,11458,16,0,1,fused_streaming,shift,per_chunk,16,16
10,7459,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
11,7459,11209,16,0,1,fused_streaming,shift,per_chunk,16,16
12,8084,11875,16,0,1,fused_streaming,shift,per_chunk,16,16
13,7500,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
14,7542,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
15,7666,11458,16,0,1,fused_streaming,shift,per_chunk,16,16
16,8042,11792,16,0,1,fused_streaming,shift,per_chunk,16,16
17,7458,11208,16,0,1,fused_streaming,shift,per_chunk,16,16
18,7500,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
19,7500,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
20,7500,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
21,7417,11209,16,0,1,fused_streaming,shift,per_chunk,16,16
22,7542,11375,16,0,1,fused_streaming,shift,per_chunk,16,16
23,7583,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
24,7458,11208,16,0,1,fused_streaming,shift,per_chunk,16,16
25,7667,11459,16,0,1,fused_streaming,shift,per_chunk,16,16
26,7750,11500,16,0,1,fused_streaming,shift,per_chunk,16,16
27,7458,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
28,7542,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
29,7416,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
30,7500,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
31,7541,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
32,7458,11208,16,0,1,fused_streaming,shift,per_chunk,16,16
33,7500,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
34,7458,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
35,7417,11209,16,0,1,fused_streaming,shift,per_chunk,16,16
36,7542,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
37,7500,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
38,7875,18750,16,0,1,fused_streaming,shift,per_chunk,16,16
39,7458,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
40,7458,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
41,7459,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
42,7500,11291,16,0,1,fused_streaming,shift,per_chunk,16,16
43,7542,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
44,7458,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
45,7458,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
46,7542,11334,16,0,1,fused_streaming,shift,per_chunk,16,16
47,7500,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
48,7500,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
49,7541,11291,16,0,1,fused_streaming,shift,per_chunk,16,16
50,7500,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
51,7708,11500,16,0,1,fused_streaming,shift,per_chunk,16,16
52,7458,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
53,7458,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
54,7542,11334,16,0,1,fused_streaming,shift,per_chunk,16,16
55,7458,11208,16,0,1,fused_streaming,shift,per_chunk,16,16
56,7542,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
57,7542,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
58,7500,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
59,7583,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
60,7458,11250,16,0,1,fused_streaming,shift,per_chunk,16,16
61,7875,11708,16,0,1,fused_streaming,shift,per_chunk,16,16
62,7541,11291,16,0,1,fused_streaming,shift,per_chunk,16,16
63,7542,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
64,7541,11333,16,0,1,fused_streaming,shift,per_chunk,16,16
65,7709,11500,16,0,1,fused_streaming,shift,per_chunk,16,16
66,7500,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
67,7458,11292,16,0,1,fused_streaming,shift,per_chunk,16,16
