block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,1090708,1097834,16,1,1,layered_block,shift,per_chunk,1,1
1,34584,40583,16,0,1,layered_block,shift,per_chunk,1,1
2,30333,35000,16,0,1,layered_block,shift,per_chunk,1,1
3,29542,34333,16,0,1,layered_block,shift,per_chunk,1,1
4,27250,38000,16,0,1,layered_block,shift,per_chunk,1,1
5,28166,32833,16,0,1,layered_block,shift,per_chunk,1,1
6,26750,31083,16,0,1,layered_block,shift,per_chunk,1,1
7,27709,32500,16,0,1,layered_block,shift,per_chunk,1,1
8,26750,31125,16,0,1,layered_block,shift,per_chunk,1,1
9,26625,31250,16,0,1,layered_block,shift,per_chunk,1,1
10,27834,32667,16,0,1,layered_block,shift,per_chunk,1,1
11,27750,32458,16,0,1,layered_block,shift,per_chunk,1,1
12,27667,32208,16,0,1,layered_block,shift,per_chunk,1,1
13,27750,32250,16,0,1,layered_block,shift,per_chunk,1,1
14,27291,32625,16,0,1,layered_block,shift,per_chunk,1,1
15,36958,41792,16,0,1,layered_block,shift,per_chunk,1,1
16,27292,31875,16,0,1,layered_block,shift,per_chunk,1,1
17,28792,33708,16,0,1,layered_block,shift,per_chunk,1,1
18,27084,31625,16,0,1,layered_block,shift,per_chunk,1,1
19,27958,32500,16,0,1,layered_block,shift,per_chunk,1,1
20,33917,38750,16,0,1,layered_block,shift,per_chunk,1,1
21,29000,34417,16,0,1,layered_block,shift,per_chunk,1,1
22,27542,32791,16,0,1,layered_block,shift,per_chunk,1,1
23,27792,32875,16,0,1,layered_block,shift,per_chunk,1,1
24,27875,32667,16,0,1,layered_block,shift,per_chunk,1,1
25,27875,32458,16,0,1,layered_block,shift,per_chunk,1,1
26,29333,34167,16,0,1,layered_block,shift,per_chunk,1,1
27,27667,32459,16,0,1,layered_block,shift,per_chunk,1,1
28,28208,33209,16,0,1,layered_block,shift,per_chunk,1,1
29,28250,32959,16,0,1,layered_block,shift,per_chunk,1,1
30,27792,32584,16,0,1,layered_block,shift,per_chunk,1,1
31,27958,33250,16,0,1,layered_block,shift,per_chunk,1,1
32,27708,32917,16,0,1,layered_block,shift,per_chunk,1,1
33,26500,31208,16,0,1,layered_block,shift,per_chunk,1,1
34,28000,32750,16,0,1,layered_block,shift,per_chunk,1,1
35,28500,33417,16,0,1,layered_block,shift,per_chunk,1,1
36,27625,32375,16,0,1,layered_block,shift,per_chunk,1,1
37,28625,40292,16,0,1,layered_block,shift,per_chunk,1,1
38,27250,32000,16,0,1,layered_block,shift,per_chunk,1,1
39,27583,32250,16,0,1,layered_block,shift,per_chunk,1,1
40,27916,32667,16,0,1,layered_block,shift,per_chunk,1,1
41,120917,126833,16,0,1,layered_block,shift,per_chunk,1,1
42,28541,34209,16,0,1,layered_block,shift,per_chunk,1,1
43,27250,32750,16,0,1,layered_block,shift,per_chunk,1,1
44,26666,31792,16,0,1,layered_block,shift,per_chunk,1,1
45,28708,33416,16,0,1,layered_block,shift,per_chunk,1,1
46,27458,32084,16,0,1,layered_block,shift,per_chunk,1,1
47,28042,32667,16,0,1,layered_block,shift,per_chunk,1,1
48,29500,34292,16,0,1,layered_block,shift,per_chunk,1,1
49,28375,32958,16,0,1,layered_block,shift,per_chunk,1,1
50,27750,32791,16,0,1,layered_block,shift,per_chunk,1,1
51,35000,39708,16,0,1,layered_block,shift,per_chunk,1,1
52,28292,33084,16,0,1,layered_block,shift,per_chunk,1,1
53,28000,32833,16,0,1,layered_block,shift,per_chunk,1,1
54,27917,33083,16,0,1,layered_block,shift,per_chunk,1,1
55,28583,33208,16,0,1,layered_block,shift,per_chunk,1,1
56,28541,33167,16,0,1,layered_block,shift,per_chunk,1,1
57,27875,32750,16,0,1,layered_block,shift,per_chunk,1,1
58,27125,31875,16,0,1,layered_block,shift,per_chunk,1,1
59,28042,33250,16,0,1,layered_block,shift,per_chunk,1,1
60,28250,32875,16,0,1,layered_block,shift,per_chunk,1,1
61,28250,32875,16,0,1,layered_block,shift,per_chunk,1,1
62,27833,32750,16,0,1,layered_block,shift,per_chunk,1,1
63,28375,32958,16,0,1,layered_block,shift,per_chunk,1,1
64,28125,32958,16,0,1,layered_block,shift,per_chunk,1,1
65,35625,40917,16,0,1,layered_block,shift,per_chunk,1,1
66,28042,33042,16,0,1,layered_block,shift,per_chunk,1,1
67,26583,31667,16,0,1,layered_block,shift,per_chunk,1,1
68,36625,41708,16,0,1,layered_block,shift,per_chunk,1,1
69,27750,32458,16,0,1,layered_block,shift,per_chunk,1,1
70,27458,32292,16,0,1,layered_block,shift,per_chunk,1,1
71,28417,33625,16,0,1,layered_block,shift,per_chunk,1,1
72,27542,32208,16,0,1,layered_block,shift,per_chunk,1,1
73,27916,33000,16,0,1,layered_block,shift,per_chunk,1,1
74,28083,33333,16,0,1,layered_block,shift,per_chunk,1,1
75,28542,33167,16,0,1,layered_block,shift,per_chunk,1,1
76,27459,33208,16,0,1,layered_block,shift,per_chunk,1,1
77,34291,39083,16,0,1,layered_block,shift,per_chunk,1,1
78,27791,32333,16,0,1,layered_block,shift,per_chunk,1,1
79,28333,33167,16,0,1,layered_block,shift,per_chunk,1,1
80,27750,32542,16,0,1,layered_block,shift,per_chunk,1,1
81,27125,31959,16,0,1,layered_block,shift,per_chunk,1,1
82,27542,32792,16,0,1,layered_block,shift,per_chunk,1,1
83,32541,37792,16,0,1,layered_block,shift,per_chunk,1,1
84,27792,32542,16,0,1,layered_block,shift,per_chunk,1,1
85,27916,32458,16,0,1,layered_block,shift,per_chunk,1,1
86,28208,32791,16,0,1,layered_block,shift,per_chunk,1,1
87,27958,32666,16,0,1,layered_block,shift,per_chunk,1,1
88,27916,33125,16,0,1,layered_block,shift,per_chunk,1,1
89,28542,33042,16,0,1,layered_block,shift,per_chunk,1,1
90,28333,32833,16,0,1,layered_block,shift,per_chunk,1,1
91,28250,33000,16,0,1,layered_block,shift,per_chunk,1,1
92,27625,32083,16,0,1,layered_block,shift,per_chunk,1,1
93,28959,34084,16,0,1,layered_block,shift,per_chunk,1,1
94,119666,124709,16,0,1,layered_block,shift,per_chunk,1,1
95,27417,32417,16,0,1,layered_block,shift,per_chunk,1,1
96,27584,32458,16,0,1,layered_block,shift,per_chunk,1,1
97,27625,32500,16,0,1,layered_block,shift,per_chunk,1,1
98,27833,32750,16,0,1,layered_block,shift,per_chunk,1,1
99,35500,40500,16,0,1,layered_block,shift,per_chunk,1,1
100,28375,33042,16,0,0,layered_block,shift,per_chunk,1,1
101,31292,36417,16,0,0,layered_block,shift,per_chunk,1,1
102,28625,33250,16,0,0,layered_block,shift,per_chunk,1,1
103,27875,32459,16,0,0,layered_block,shift,per_chunk,1,1
104,28167,32792,16,0,0,layered_block,shift,per_chunk,1,1
105,28958,33917,16,0,0,layered_block,shift,per_chunk,1,1
106,28375,32916,16,0,0,layered_block,shift,per_chunk,1,1
107,28667,33667,16,0,0,layered_block,shift,per_chunk,1,1
108,27917,33250,16,0,0,layered_block,shift,per_chunk,1,1
109,35500,40042,16,0,0,layered_block,shift,per_chunk,1,1
110,27709,32500,16,0,0,layered_block,shift,per_chunk,1,1
111,27833,32625,16,0,0,layered_block,shift,per_chunk,1,1
112,27666,32250,16,0,0,layered_block,shift,per_chunk,1,1
113,28791,33375,16,0,0,layered_block,shift,per_chunk,1,1
114,29875,34917,16,0,0,layered_block,shift,per_chunk,1,1
115,29292,34375,16,0,0,layered_block,shift,per_chunk,1,1
116,28167,33000,16,0,0,layered_block,shift,per_chunk,1,1
117,28542,33375,16,0,0,layered_block,shift,per_chunk,1,1
118,27709,33584,16,0,0,layered_block,shift,per_chunk,1,1
119,27709,32291,16,0,0,layered_block,shift,per_chunk,1,1
120,27792,32375,16,0,0,layered_block,shift,per_chunk,1,1
121,28667,33458,16,0,0,layered_block,shift,per_chunk,1,1
122,28333,32917,16,0,0,layered_block,shift,per_chunk,1,1
123,28209,33208,16,0,0,layered_block,shift,per_chunk,1,1
124,28709,33542,16,0,0,layered_block,shift,per_chunk,1,1
125,28042,33083,16,0,0,layered_block,shift,per_chunk,1,1
126,29541,34375,16,0,0,layered_block,shift,per_chunk,1,1
127,29333,34083,16,0,0,layered_block,shift,per_chunk,1,1
128,35209,39958,16,0,0,layered_block,shift,per_chunk,1,1
129,26791,31958,16,0,0,layered_block,shift,per_chunk,1,1
130,28834,33625,16,0,0,layered_block,shift,per_chunk,1,1
131,34333,40250,16,0,0,layered_block,shift,per_chunk,1,1
132,28000,33209,16,0,0,layered_block,shift,per_chunk,1,1
133,28375,33084,16,0,0,layered_block,shift,per_chunk,1,1
134,28500,33417,16,0,0,layered_block,shift,per_chunk,1,1
135,27584,32625,16,0,0,layered_block,shift,per_chunk,1,1
136,28250,32750,16,0,0,layered_block,shift,per_chunk,1,1
137,28083,33125,16,0,0,layered_block,shift,per_chunk,1,1
138,28625,33250,16,0,0,layered_block,shift,per_chunk,1,1
139,27000,31583,16,0,0,layered_block,shift,per_chunk,1,1
140,28791,34167,16,0,0,layered_block,shift,per_chunk,1,1
141,27417,32333,16,0,0,layered_block,shift,per_chunk,1,1
142,26333,30917,16,0,0,layered_block,shift,per_chunk,1,1
143,27000,31542,16,0,0,layered_block,shift,per_chunk,1,1
144,26208,30708,16,0,0,layered_block,shift,per_chunk,1,1
145,27375,37375,16,0,0,layered_block,shift,per_chunk,1,1
146,27000,31709,16,0,0,layered_block,shift,per_chunk,1,1
147,27042,32000,16,0,0,layered_block,shift,per_chunk,1,1
148,26833,31500,16,0,0,layered_block,shift,per_chunk,1,1
149,26958,31542,16,0,0,layered_block,shift,per_chunk,1,1
150,26625,31208,16,0,0,layered_block,shift,per_chunk,1,1
151,26958,31625,16,0,0,layered_block,shift,per_chunk,1,1
152,26834,31875,16,0,0,layered_block,shift,per_chunk,1,1
153,26375,31250,16,0,0,layered_block,shift,per_chunk,1,1
154,31625,38083,16,0,0,layered_block,shift,per_chunk,1,1
155,28750,34209,16,0,0,layered_block,shift,per_chunk,1,1
156,28125,32916,16,0,0,layered_block,shift,per_chunk,1,1
157,34208,38625,16,0,0,layered_block,shift,per_chunk,1,1
158,26417,31042,16,0,0,layered_block,shift,per_chunk,1,1
159,27250,31708,16,0,0,layered_block,shift,per_chunk,1,1
160,26917,31500,16,0,0,layered_block,shift,per_chunk,1,1
161,27375,31959,16,0,0,layered_block,shift,per_chunk,1,1
162,27250,32250,16,0,0,layered_block,shift,per_chunk,1,1
163,26375,31000,16,0,0,layered_block,shift,per_chunk,1,1
164,26292,30791,16,0,0,layered_block,shift,per_chunk,1,1
165,26125,30750,16,0,0,layered_block,shift,per_chunk,1,1
166,26459,31083,16,0,0,layered_block,shift,per_chunk,1,1
167,26333,30917,16,0,0,layered_block,shift,per_chunk,1,1
168,29000,34000,16,0,0,layered_block,shift,per_chunk,1,1
169,26791,31458,16,0,0,layered_block,shift,per_chunk,1,1
170,35208,39833,16,0,0,layered_block,shift,per_chunk,1,1
171,28083,32958,16,0,0,layered_block,shift,per_chunk,1,1
172,26959,31625,16,0,0,layered_block,shift,per_chunk,1,1
173,28750,33709,16,0,0,layered_block,shift,per_chunk,1,1
174,28209,33625,16,0,0,layered_block,shift,per_chunk,1,1
175,27625,32458,16,0,0,layered_block,shift,per_chunk,1,1
176,27292,32500,16,0,0,layered_block,shift,per_chunk,1,1
177,29167,34458,16,0,0,layered_block,shift,per_chunk,1,1
178,27500,32250,16,0,0,layered_block,shift,per_chunk,1,1
179,37917,43500,16,0,0,layered_block,shift,per_chunk,1,1
180,28583,33500,16,0,0,layered_block,shift,per_chunk,1,1
181,29250,33792,16,0,0,layered_block,shift,per_chunk,1,1
182,27750,32584,16,0,0,layered_block,shift,per_chunk,1,1
183,27958,32708,16,0,0,layered_block,shift,per_chunk,1,1
184,27458,31958,16,0,0,layered_block,shift,per_chunk,1,1
185,26750,31416,16,0,0,layered_block,shift,per_chunk,1,1
186,28542,33041,16,0,0,layered_block,shift,per_chunk,1,1
187,29542,34625,16,0,0,layered_block,shift,per_chunk,1,1
188,35917,40750,16,0,0,layered_block,shift,per_chunk,1,1
189,26667,31167,16,0,0,layered_block,shift,per_chunk,1,1
190,28250,32875,16,0,0,layered_block,shift,per_chunk,1,1
