block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,13166,16916,16,0,1,layered_block,shift,persistent,1,1
1,12750,16500,16,0,1,layered_block,shift,persistent,1,1
2,13292,17125,16,0,1,layered_block,shift,persistent,1,1
3,12666,16583,16,0,1,layered_block,shift,persistent,1,1
4,12417,16209,16,0,1,layered_block,shift,persistent,1,1
5,12834,16625,16,0,1,layered_block,shift,persistent,1,1
6,12500,16250,16,0,1,layered_block,shift,persistent,1,1
7,13000,16750,16,0,1,layered_block,shift,persistent,1,1
8,12416,16208,16,0,1,layered_block,shift,persistent,1,1
9,12334,16125,16,0,1,layered_block,shift,persistent,1,1
10,12458,16375,16,0,1,layered_block,shift,persistent,1,1
11,12834,16584,16,0,1,layered_block,shift,persistent,1,1
12,12209,16000,16,0,1,layered_block,shift,persistent,1,1
13,12458,16208,16,0,1,layered_block,shift,persistent,1,1
14,13167,16917,16,0,1,layered_block,shift,persistent,1,1
15,12583,16375,16,0,1,layered_block,shift,persistent,1,1
16,12250,16000,16,0,1,layered_block,shift,persistent,1,1
17,12292,16042,16,0,1,layered_block,shift,persistent,1,1
18,12333,16167,16,0,1,layered_block,shift,persistent,1,1
19,12667,16417,16,0,1,layered_block,shift,persistent,1,1
20,12458,16250,16,0,1,layered_block,shift,persistent,1,1
21,12333,16083,16,0,1,layered_block,shift,persistent,1,1
22,12459,16250,16,0,1,layered_block,shift,persistent,1,1
23,12541,16333,16,0,1,layered_block,shift,persistent,1,1
24,12458,16250,16,0,1,layered_block,shift,persistent,1,1
25,12625,16417,16,0,1,layered_block,shift,persistent,1,1
26,12500,16250,16,0,1,layered_block,shift,persistent,1,1
27,12708,16625,16,0,1,layered_block,shift,persistent,1,1
28,12292,16042,16,0,1,layered_block,shift,persistent,1,1
29,12333,16167,16,0,1,layered_block,shift,persistent,1,1
30,12458,16250,16,0,1,layered_block,shift,persistent,1,1
31,13041,16791,16,0,1,layered_block,shift,persistent,1,1
32,12333,16125,16,0,1,layered_block,shift,persistent,1,1
33,12666,16500,16,0,1,layered_block,shift,persistent,1,1
34,12958,16750,16,0,1,layered_block,shift,persistent,1,1
35,12917,16708,16,0,1,layered_block,shift,persistent,1,1
36,12750,16500,16,0,1,layered_block,shift,persistent,1,1
37,13083,16875,16,0,1,layered_block,shift,persistent,1,1
38,12333,16125,16,0,1,layered_block,shift,persistent,1,1
39,13000,16791,16,0,1,layered_block,shift,persistent,1,1
40,12875,16667,16,0,1,layered_block,shift,persistent,1,1
41,12708,16458,16,0,1,layered_block,shift,persistent,1,1
42,13250,17000,16,0,1,layered_block,shift,persistent,1,1
43,12292,16125,16,0,1,layered_block,shift,persistent,1,1
44,12667,16417,16,0,1,layered_block,shift,persistent,1,1
45,19625,23625,16,0,1,layered_block,shift,persistent,1,1
46,12542,16292,16,0,1,layered_block,shift,persistent,1,1
47,12458,16333,16,0,1,layered_block,shift,persistent,1,1
48,19500,23416,16,0,1,layered_block,shift,persistent,1,1
49,12500,16292,16,0,1,layered_block,shift,persistent,1,1
50,12458,16292,16,0,1,layered_block,shift,persistent,1,1
51,12583,16375,16,0,1,layered_block,shift,persistent,1,1
