configuration,chunk_frames,source_csv,total_rows,warmup_rows,measured_rows,model_mean_ns_per_block,model_stddev_ns_per_block,model_p99_ns_per_block,model_max_ns_per_block,block_mean_ns_per_block,block_p99_ns_per_block,block_max_ns_per_block,block_overruns,model_mean_us_per_mono_sample,model_stddev_us_per_mono_sample,model_p99_us_per_mono_sample,model_max_us_per_mono_sample,block_mean_us_per_mono_sample,block_stddev_us_per_mono_sample
Naive control,1,chunk_sweep_naive_chunk1.csv,14700,100,14600,29131.165,6807.739961103564,38417.0,151667.0,34171.70602739726,45127.080000000045,156916.0,0,1.8206978124999997,0.4254837475689728,2.4010625,9.4791875,2.135731626712329,0.4565966317637542
Naive control,2,chunk_sweep_naive_chunk2.csv,14700,100,14600,16669.017191780822,5356.447189143237,24417.0,146125.0,20754.0198630137,28542.0,150167.0,0,1.0418135744863015,0.3347779493214523,1.5260625,9.1328125,1.2971262414383562,0.372630132099087
Naive control,4,chunk_sweep_naive_chunk4.csv,14700,100,14600,13159.386232876712,5115.200632311916,20750.0,139083.0,17217.488835616437,24791.0,143167.0,0,0.8224616395547945,0.3197000395194947,1.296875,8.6926875,1.0760930522260275,0.34588038347826083
Naive control,8,chunk_sweep_naive_chunk8.csv,14700,100,14600,11184.917876712329,5106.742992683674,18458.0,393208.0,15214.906438356164,22500.0,400250.0,1,0.6990573672945205,0.31917143704272954,1.153625,24.5755,0.9509316523972602,0.3384552965535628
Naive control,16,chunk_sweep_naive_chunk16.csv,14700,100,14600,10088.622534246575,4024.8994648763874,17208.0,105750.0,14228.760068493151,37214.670000000144,111416.0,0,0.6305389083904109,0.2515562165547742,1.0755,6.609375,0.8892975042808219,0.3112611570766309
Fused only,1,chunk_sweep_fused_chunk1.csv,14700,100,14600,13014.411095890411,4642.8429243374185,21713.840000000127,104875.0,17063.58006849315,43208.0,161042.0,0,0.8134006934931507,0.2901776827710887,1.3571150000000078,6.5546875,1.066473754280822,0.35104929187390777
Fused only,2,chunk_sweep_fused_chunk2.csv,14700,100,14600,10066.550410958904,3568.9955374452866,17042.0,97958.0,14331.549726027397,21166.0,118375.0,0,0.6291594006849315,0.22306222109033041,1.065125,6.122375,0.8957218578767124,0.2805976744035101
Fused only,4,chunk_sweep_fused_chunk4.csv,14700,100,14600,8870.899726027397,3542.981599767167,15875.0,111666.0,12838.22897260274,20000.0,115833.0,0,0.5544312328767124,0.2214363499854479,0.9921875,6.979125,0.8023893107876712,0.2621240027348607
Fused only,8,chunk_sweep_fused_chunk8.csv,14700,100,14600,8287.023493150686,3502.206726674325,15167.0,148458.0,12484.244657534247,19250.0,153583.0,0,0.5179389683219179,0.21888792041714533,0.9479375,9.278625,0.7802652910958905,0.2535444916432396
Fused only,16,chunk_sweep_fused_chunk16.csv,14700,100,14600,8029.151712328767,4290.0655074269835,14875.0,194292.0,12040.550410958904,19125.0,238209.0,0,0.501821982020548,0.2681290942141864,0.9296875,12.14325,0.7525344006849315,0.334799236398986
Circular only,1,chunk_sweep_circular_chunk1.csv,14700,100,14600,24323.28294520548,7228.122464405687,32625.0,501833.0,28391.769246575343,36791.01,507167.0,1,1.5202051840753423,0.4517576540253555,2.0390625,31.3645625,1.774485577910959,0.48136249106479706
Circular only,2,chunk_sweep_circular_chunk2.csv,14700,100,14600,16104.87212328767,6143.205392778246,23750.41000000001,221666.0,20149.63684931507,27875.0,225833.0,0,1.0065545077054794,0.3839503370486404,1.4844006250000006,13.854125,1.2593523030821916,0.42160933718603694
Circular only,4,chunk_sweep_circular_chunk4.csv,14700,100,14600,13334.662739726027,9863.25286911831,52048.09000000016,237542.0,17455.501438356165,74381.25000000013,241791.0,0,0.8334164212328767,0.6164533043198943,3.2530056250000094,14.846375,1.0909688398972603,0.6870992187079055
Circular only,8,chunk_sweep_circular_chunk8.csv,14700,100,14600,10733.878972602739,4797.4592001229075,18041.0,136667.0,14800.710684931506,22250.0,165459.0,0,0.6708674357876714,0.2998412000076818,1.1275625,8.5416875,0.9250444178082191,0.3610528048369621
Circular only,16,chunk_sweep_circular_chunk16.csv,14700,100,14600,9889.163630136987,3908.569081197073,16667.0,160375.0,13933.99287671233,20667.41000000001,164750.0,0,0.6180727268835617,0.24428556757481706,1.0416875,10.0234375,0.8708745547945207,0.27830065476578414
Persistent only,1,chunk_sweep_persistent_chunk1.csv,14700,100,14600,13171.492260273973,4777.624993653209,20041.0,119834.0,17142.000205479453,24125.0,123958.0,0,0.8232182662671234,0.2986015621033255,1.2525625,7.489625,1.0713750128424657,0.32964281177327887
Persistent only,2,chunk_sweep_persistent_chunk2.csv,14700,100,14600,10594.612808219179,4560.83524613119,17083.0,118209.0,14768.092671232876,21084.0,122833.0,0,0.6621633005136986,0.2850522028831993,1.0676875,7.3880625,0.9230057919520548,0.3368917797050515
Persistent only,4,chunk_sweep_persistent_chunk4.csv,14700,100,14600,8919.641232876713,3783.9895354808964,15541.0,136375.0,12896.853219178081,19542.0,140917.0,0,0.5574775770547945,0.23649934596755603,0.9713125,8.5234375,0.8060533261986301,0.2788544507903988
Persistent only,8,chunk_sweep_persistent_chunk8.csv,14700,100,14600,8469.520684931507,3156.6761757221825,14500.0,107917.0,12648.722534246575,18625.0,161209.0,0,0.5293450428082193,0.19729226098263639,0.90625,6.7448125,0.7905451583904111,0.2943763458454499
Persistent only,16,chunk_sweep_persistent_chunk16.csv,14700,100,14600,8078.132123287672,3909.2936969127963,13458.0,111625.0,12039.254246575343,17583.010000000002,115959.0,0,0.5048832577054794,0.24433085605704977,0.841125,6.9765625,0.7524533904109588,0.2841361048582909
All combined,1,chunk_sweep_combined_chunk1.csv,14700,100,14600,12055.174863013699,4850.841933277802,17542.0,175875.0,16139.011095890412,22041.010000000002,179958.0,0,0.7534484289383562,0.3031776208298626,1.096375,10.9921875,1.0086881934931506,0.3432525070725985
All combined,2,chunk_sweep_combined_chunk2.csv,14700,100,14600,9036.728630136986,4048.6508248802743,14375.0,147750.0,12996.28910958904,18416.010000000002,151791.0,0,0.5647955393835618,0.25304067655501716,0.8984375,9.234375,0.8122680693493151,0.3026190046644302
All combined,4,chunk_sweep_combined_chunk4.csv,14700,100,14600,8037.059520547945,3335.5499748702537,13250.0,111959.0,12119.397739726028,17625.0,116417.0,0,0.5023162200342465,0.20847187342939089,0.828125,6.9974375,0.7574623587328767,0.27067961620637687
All combined,8,chunk_sweep_combined_chunk8.csv,14700,100,14600,7171.695684931507,2968.403143799713,12375.0,119125.0,11142.54,16458.010000000002,125625.0,0,0.4482309803082192,0.18552519648748203,0.7734375,7.4453125,0.69640875,0.23983768257341526
All combined,16,chunk_sweep_combined_chunk16.csv,14700,100,14600,7110.155616438356,3193.3934804075743,12166.0,118042.0,11204.997739726028,16459.41000000001,122000.0,0,0.44438472602739726,0.19958709252547338,0.760375,7.377625,0.7003123587328768,0.2731877155649467
