block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,208834,212875,16,0,1,fused_streaming,circular,persistent,0,16
1,338208,342625,16,0,1,fused_streaming,circular,persistent,0,16
2,228209,232167,16,0,1,fused_streaming,circular,persistent,0,16
3,237292,241333,16,0,1,fused_streaming,circular,persistent,0,16
4,296833,301084,16,0,1,fused_streaming,circular,persistent,0,16
5,240792,244750,16,0,1,fused_streaming,circular,persistent,0,16
6,237792,241833,16,0,1,fused_streaming,circular,persistent,0,16
7,298333,307125,16,0,1,fused_streaming,circular,persistent,0,16
8,235792,239750,16,0,1,fused_streaming,circular,persistent,0,16
9,228458,232334,16,0,1,fused_streaming,circular,persistent,0,16
10,232334,236375,16,0,1,fused_streaming,circular,persistent,0,16
11,237542,241417,16,0,1,fused_streaming,circular,persistent,0,16
12,237500,241458,16,0,1,fused_streaming,circular,persistent,0,16
13,227083,231042,16,0,1,fused_streaming,circular,persistent,0,16
14,238250,242208,16,0,1,fused_streaming,circular,persistent,0,16
15,245583,249625,16,0,1,fused_streaming,circular,persistent,0,16
16,240333,244250,16,0,1,fused_streaming,circular,persistent,0,16
17,245833,249875,16,0,1,fused_streaming,circular,persistent,0,16
18,238292,242291,16,0,1,fused_streaming,circular,persistent,0,16
19,239292,243250,16,0,1,fused_streaming,circular,persistent,0,16
20,251625,255625,16,0,1,fused_streaming,circular,persistent,0,16
21,255709,259667,16,0,1,fused_streaming,circular,persistent,0,16
22,242916,246792,16,0,1,fused_streaming,circular,persistent,0,16
23,243708,247625,16,0,1,fused_streaming,circular,persistent,0,16
24,262417,266333,16,0,1,fused_streaming,circular,persistent,0,16
25,259666,263667,16,0,1,fused_streaming,circular,persistent,0,16
26,251959,255958,16,0,1,fused_streaming,circular,persistent,0,16
27,237750,241708,16,0,1,fused_streaming,circular,persistent,0,16
28,240875,244875,16,0,1,fused_streaming,circular,persistent,0,16
29,242791,246792,16,0,1,fused_streaming,circular,persistent,0,16
30,246500,250500,16,0,1,fused_streaming,circular,persistent,0,16
31,249333,253250,16,0,1,fused_streaming,circular,persistent,0,16
32,249375,253334,16,0,1,fused_streaming,circular,persistent,0,16
33,240000,244000,16,0,1,fused_streaming,circular,persistent,0,16
34,249542,253583,16,0,1,fused_streaming,circular,persistent,0,16
35,243875,247916,16,0,1,fused_streaming,circular,persistent,0,16
36,228292,232250,16,0,1,fused_streaming,circular,persistent,0,16
37,230417,234500,16,0,1,fused_streaming,circular,persistent,0,16
38,220917,224917,16,0,1,fused_streaming,circular,persistent,0,16
39,222625,226667,16,0,1,fused_streaming,circular,persistent,0,16
40,231458,235416,16,0,1,fused_streaming,circular,persistent,0,16
41,240542,244625,16,0,1,fused_streaming,circular,persistent,0,16
42,246875,250875,16,0,1,fused_streaming,circular,persistent,0,16
43,246834,250875,16,0,1,fused_streaming,circular,persistent,0,16
44,255333,259334,16,0,1,fused_streaming,circular,persistent,0,16
45,252625,256625,16,0,1,fused_streaming,circular,persistent,0,16
46,239042,243000,16,0,1,fused_streaming,circular,persistent,0,16
47,249542,253583,16,0,1,fused_streaming,circular,persistent,0,16
48,258792,262833,16,0,1,fused_streaming,circular,persistent,0,16
49,251375,255417,16,0,1,fused_streaming,circular,persistent,0,16
50,248291,252250,16,0,1,fused_streaming,circular,persistent,0,16
51,253584,262000,16,0,1,fused_streaming,circular,persistent,0,16
52,265250,269250,16,0,1,fused_streaming,circular,persistent,0,16
53,261792,265833,16,0,1,fused_streaming,circular,persistent,0,16
54,256666,260709,16,0,1,fused_streaming,circular,persistent,0,16
55,243125,247125,16,0,1,fused_streaming,circular,persistent,0,16
56,244667,248666,16,0,1,fused_streaming,circular,persistent,0,16
57,224292,228208,16,0,1,fused_streaming,circular,persistent,0,16
58,231875,235875,16,0,1,fused_streaming,circular,persistent,0,16
59,235709,239667,16,0,1,fused_streaming,circular,persistent,0,16
60,239833,243959,16,0,1,fused_streaming,circular,persistent,0,16
61,241750,245708,16,0,1,fused_streaming,circular,persistent,0,16
62,248083,252125,16,0,1,fused_streaming,circular,persistent,0,16
63,244541,248584,16,0,1,fused_streaming,circular,persistent,0,16
64,239583,243583,16,0,1,fused_streaming,circular,persistent,0,16
65,242333,246459,16,0,1,fused_streaming,circular,persistent,0,16
