block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,231125,235125,16,0,1,layered_block,circular,per_chunk,0,16
1,216459,220667,16,0,1,layered_block,circular,per_chunk,0,16
2,240125,244125,16,0,1,layered_block,circular,per_chunk,0,16
3,243125,247125,16,0,1,layered_block,circular,per_chunk,0,16
4,241917,245875,16,0,1,layered_block,circular,per_chunk,0,16
5,246750,250708,16,0,1,layered_block,circular,per_chunk,0,16
6,237542,241500,16,0,1,layered_block,circular,per_chunk,0,16
7,245917,249875,16,0,1,layered_block,circular,per_chunk,0,16
8,241708,245666,16,0,1,layered_block,circular,per_chunk,0,16
9,238792,242750,16,0,1,layered_block,circular,per_chunk,0,16
10,237917,241917,16,0,1,layered_block,circular,per_chunk,0,16
11,243333,247583,16,0,1,layered_block,circular,per_chunk,0,16
12,242375,246333,16,0,1,layered_block,circular,per_chunk,0,16
13,232500,236500,16,0,1,layered_block,circular,per_chunk,0,16
14,245291,249250,16,0,1,layered_block,circular,per_chunk,0,16
15,245625,249584,16,0,1,layered_block,circular,per_chunk,0,16
16,250500,254416,16,0,1,layered_block,circular,per_chunk,0,16
17,251458,255375,16,0,1,layered_block,circular,per_chunk,0,16
18,237875,241791,16,0,1,layered_block,circular,per_chunk,0,16
19,243625,247584,16,0,1,layered_block,circular,per_chunk,0,16
20,256458,260417,16,0,1,layered_block,circular,per_chunk,0,16
21,256000,260208,16,0,1,layered_block,circular,per_chunk,0,16
22,253958,257875,16,0,1,layered_block,circular,per_chunk,0,16
23,254833,259083,16,0,1,layered_block,circular,per_chunk,0,16
24,267125,271125,16,0,1,layered_block,circular,per_chunk,0,16
25,264750,268708,16,0,1,layered_block,circular,per_chunk,0,16
26,258667,262667,16,0,1,layered_block,circular,per_chunk,0,16
27,249167,253125,16,0,1,layered_block,circular,per_chunk,0,16
28,245042,248958,16,0,1,layered_block,circular,per_chunk,0,16
29,242417,246375,16,0,1,layered_block,circular,per_chunk,0,16
30,256333,260333,16,0,1,layered_block,circular,per_chunk,0,16
31,253708,257917,16,0,1,layered_block,circular,per_chunk,0,16
32,254500,258458,16,0,1,layered_block,circular,per_chunk,0,16
33,244708,249083,16,0,1,layered_block,circular,per_chunk,0,16
34,255125,259333,16,0,1,layered_block,circular,per_chunk,0,16
35,248417,252500,16,0,1,layered_block,circular,per_chunk,0,16
36,239083,243125,16,0,1,layered_block,circular,per_chunk,0,16
37,230500,234583,16,0,1,layered_block,circular,per_chunk,0,16
38,233292,237291,16,0,1,layered_block,circular,per_chunk,0,16
39,222833,226875,16,0,1,layered_block,circular,per_chunk,0,16
40,236542,240500,16,0,1,layered_block,circular,per_chunk,0,16
41,246458,250500,16,0,1,layered_block,circular,per_chunk,0,16
42,257584,261583,16,0,1,layered_block,circular,per_chunk,0,16
43,251875,256166,16,0,1,layered_block,circular,per_chunk,0,16
44,261250,265291,16,0,1,layered_block,circular,per_chunk,0,16
45,252208,256500,16,0,1,layered_block,circular,per_chunk,0,16
46,250000,253958,16,0,1,layered_block,circular,per_chunk,0,16
47,282541,287041,16,0,1,layered_block,circular,per_chunk,0,16
48,263917,267917,16,0,1,layered_block,circular,per_chunk,0,16
49,251250,255292,16,0,1,layered_block,circular,per_chunk,0,16
50,259876,263875,16,0,1,layered_block,circular,per_chunk,0,16
51,263459,267417,16,0,1,layered_block,circular,per_chunk,0,16
52,269292,273292,16,0,1,layered_block,circular,per_chunk,0,16
53,267666,271709,16,0,1,layered_block,circular,per_chunk,0,16
54,256834,261084,16,0,1,layered_block,circular,per_chunk,0,16
55,253125,257125,16,0,1,layered_block,circular,per_chunk,0,16
56,249625,253625,16,0,1,layered_block,circular,per_chunk,0,16
57,233458,237500,16,0,1,layered_block,circular,per_chunk,0,16
58,231292,235333,16,0,1,layered_block,circular,per_chunk,0,16
59,247375,251625,16,0,1,layered_block,circular,per_chunk,0,16
60,244416,248375,16,0,1,layered_block,circular,per_chunk,0,16
61,251750,255750,16,0,1,layered_block,circular,per_chunk,0,16
62,255083,259125,16,0,1,layered_block,circular,per_chunk,0,16
63,244666,248791,16,0,1,layered_block,circular,per_chunk,0,16
64,249500,253500,16,0,1,layered_block,circular,per_chunk,0,16
65,249500,253750,16,0,1,layered_block,circular,per_chunk,0,16
66,249584,253583,16,0,1,layered_block,circular,per_chunk,0,16
67,251250,255250,16,0,1,layered_block,circular,per_chunk,0,16
68,290833,295291,16,0,1,layered_block,circular,per_chunk,0,16
69,244959,249000,16,0,1,layered_block,circular,per_chunk,0,16
70,236167,240333,16,0,1,layered_block,circular,per_chunk,0,16
71,282334,286625,16,0,1,layered_block,circular,per_chunk,0,16
72,245875,250041,16,0,1,layered_block,circular,per_chunk,0,16
73,250334,254292,16,0,1,layered_block,circular,per_chunk,0,16
74,254208,258458,16,0,1,layered_block,circular,per_chunk,0,16
75,255709,259917,16,0,1,layered_block,circular,per_chunk,0,16
76,260417,264416,16,0,1,layered_block,circular,per_chunk,0,16
77,301000,305458,16,0,1,layered_block,circular,per_chunk,0,16
78,256708,260750,16,0,1,layered_block,circular,per_chunk,0,16
79,258542,262583,16,0,1,layered_block,circular,per_chunk,0,16
80,310500,314708,16,0,1,layered_block,circular,per_chunk,0,16
81,265000,269000,16,0,1,layered_block,circular,per_chunk,0,16
82,258250,262208,16,0,1,layered_block,circular,per_chunk,0,16
83,308791,313000,16,0,1,layered_block,circular,per_chunk,0,16
84,245500,249541,16,0,1,layered_block,circular,per_chunk,0,16
85,233083,237042,16,0,1,layered_block,circular,per_chunk,0,16
86,287167,291667,16,0,1,layered_block,circular,per_chunk,0,16
87,222083,226042,16,0,1,layered_block,circular,per_chunk,0,16
88,241500,245458,16,0,1,layered_block,circular,per_chunk,0,16
89,241209,245500,16,0,1,layered_block,circular,per_chunk,0,16
90,251833,255791,16,0,1,layered_block,circular,per_chunk,0,16
91,248792,252750,16,0,1,layered_block,circular,per_chunk,0,16
92,239083,243000,16,0,1,layered_block,circular,per_chunk,0,16
93,240667,244625,16,0,1,layered_block,circular,per_chunk,0,16
94,237167,241166,16,0,1,layered_block,circular,per_chunk,0,16
95,245917,249875,16,0,1,layered_block,circular,per_chunk,0,16
96,242542,246541,16,0,1,layered_block,circular,per_chunk,0,16
97,235459,239459,16,0,1,layered_block,circular,per_chunk,0,16
98,230917,234875,16,0,1,layered_block,circular,per_chunk,0,16
99,250125,254125,16,0,1,layered_block,circular,per_chunk,0,16
100,249958,254000,16,0,0,layered_block,circular,per_chunk,0,16
101,253792,258042,16,0,0,layered_block,circular,per_chunk,0,16
102,256833,260792,16,0,0,layered_block,circular,per_chunk,0,16
103,251750,255792,16,0,0,layered_block,circular,per_chunk,0,16
104,260459,264917,16,0,0,layered_block,circular,per_chunk,0,16
105,255459,259708,16,0,0,layered_block,circular,per_chunk,0,16
106,256667,260875,16,0,0,layered_block,circular,per_chunk,0,16
107,260041,264250,16,0,0,layered_block,circular,per_chunk,0,16
108,266750,270916,16,0,0,layered_block,circular,per_chunk,0,16
109,257792,262042,16,0,0,layered_block,circular,per_chunk,0,16
110,254750,258750,16,0,0,layered_block,circular,per_chunk,0,16
111,241042,245250,16,0,0,layered_block,circular,per_chunk,0,16
112,233584,237834,16,0,0,layered_block,circular,per_chunk,0,16
113,230666,234709,16,0,0,layered_block,circular,per_chunk,0,16
114,235833,239875,16,0,0,layered_block,circular,per_chunk,0,16
115,236667,241083,16,0,0,layered_block,circular,per_chunk,0,16
116,231625,235916,16,0,0,layered_block,circular,per_chunk,0,16
117,247542,251542,16,0,0,layered_block,circular,per_chunk,0,16
118,244459,248416,16,0,0,layered_block,circular,per_chunk,0,16
119,241958,246250,16,0,0,layered_block,circular,per_chunk,0,16
120,310208,314625,16,0,0,layered_block,circular,per_chunk,0,16
121,237292,241541,16,0,0,layered_block,circular,per_chunk,0,16
122,244334,248292,16,0,0,layered_block,circular,per_chunk,0,16
123,288125,292542,16,0,0,layered_block,circular,per_chunk,0,16
124,234583,238791,16,0,0,layered_block,circular,per_chunk,0,16
125,236792,241041,16,0,0,layered_block,circular,per_chunk,0,16
