block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,1310625,1318541,16,1,1,layered_block,shift,per_chunk,0,16
1,193625,199542,16,0,1,layered_block,shift,per_chunk,0,16
2,219750,225208,16,0,1,layered_block,shift,per_chunk,0,16
3,210667,215208,16,0,1,layered_block,shift,per_chunk,0,16
4,217083,222250,16,0,1,layered_block,shift,per_chunk,0,16
5,223166,228125,16,0,1,layered_block,shift,per_chunk,0,16
6,211000,221958,16,0,1,layered_block,shift,per_chunk,0,16
7,221417,226500,16,0,1,layered_block,shift,per_chunk,0,16
8,236958,242250,16,0,1,layered_block,shift,per_chunk,0,16
9,215250,219625,16,0,1,layered_block,shift,per_chunk,0,16
10,207750,212417,16,0,1,layered_block,shift,per_chunk,0,16
11,224167,229500,16,0,1,layered_block,shift,per_chunk,0,16
12,211000,215750,16,0,1,layered_block,shift,per_chunk,0,16
13,212125,217166,16,0,1,layered_block,shift,per_chunk,0,16
14,288959,293875,16,0,1,layered_block,shift,per_chunk,0,16
15,217958,222875,16,0,1,layered_block,shift,per_chunk,0,16
16,226041,230667,16,0,1,layered_block,shift,per_chunk,0,16
17,283750,288833,16,0,1,layered_block,shift,per_chunk,0,16
18,211958,217333,16,0,1,layered_block,shift,per_chunk,0,16
19,219250,224166,16,0,1,layered_block,shift,per_chunk,0,16
20,288083,294041,16,0,1,layered_block,shift,per_chunk,0,16
21,237458,242458,16,0,1,layered_block,shift,per_chunk,0,16
22,227083,231667,16,0,1,layered_block,shift,per_chunk,0,16
23,286208,291542,16,0,1,layered_block,shift,per_chunk,0,16
24,261917,266916,16,0,1,layered_block,shift,per_chunk,0,16
25,232083,237167,16,0,1,layered_block,shift,per_chunk,0,16
26,228209,234500,16,0,1,layered_block,shift,per_chunk,0,16
27,223000,227625,16,0,1,layered_block,shift,per_chunk,0,16
28,211625,216250,16,0,1,layered_block,shift,per_chunk,0,16
29,217166,223125,16,0,1,layered_block,shift,per_chunk,0,16
30,230917,235958,16,0,1,layered_block,shift,per_chunk,0,16
31,221333,225917,16,0,1,layered_block,shift,per_chunk,0,16
32,223542,229291,16,0,1,layered_block,shift,per_chunk,0,16
33,224917,229583,16,0,1,layered_block,shift,per_chunk,0,16
34,222750,234958,16,0,1,layered_block,shift,per_chunk,0,16
35,217417,222625,16,0,1,layered_block,shift,per_chunk,0,16
36,212000,217209,16,0,1,layered_block,shift,per_chunk,0,16
37,203500,208208,16,0,1,layered_block,shift,per_chunk,0,16
38,291042,296458,16,0,1,layered_block,shift,per_chunk,0,16
39,220875,225625,16,0,1,layered_block,shift,per_chunk,0,16
40,236750,241417,16,0,1,layered_block,shift,per_chunk,0,16
41,244292,249750,16,0,1,layered_block,shift,per_chunk,0,16
42,231167,236084,16,0,1,layered_block,shift,per_chunk,0,16
43,218083,222791,16,0,1,layered_block,shift,per_chunk,0,16
44,234458,239250,16,0,1,layered_block,shift,per_chunk,0,16
45,232958,237625,16,0,1,layered_block,shift,per_chunk,0,16
46,225000,229875,16,0,1,layered_block,shift,per_chunk,0,16
47,220834,225958,16,0,1,layered_block,shift,per_chunk,0,16
48,231250,236292,16,0,1,layered_block,shift,per_chunk,0,16
49,230500,235291,16,0,1,layered_block,shift,per_chunk,0,16
50,286250,291042,16,0,1,layered_block,shift,per_chunk,0,16
51,231792,236375,16,0,1,layered_block,shift,per_chunk,0,16
52,237250,242541,16,0,1,layered_block,shift,per_chunk,0,16
53,288708,293834,16,0,1,layered_block,shift,per_chunk,0,16
54,235166,240416,16,0,1,layered_block,shift,per_chunk,0,16
55,225917,230417,16,0,1,layered_block,shift,per_chunk,0,16
56,217083,222292,16,0,1,layered_block,shift,per_chunk,0,16
57,208500,213333,16,0,1,layered_block,shift,per_chunk,0,16
58,202292,207125,16,0,1,layered_block,shift,per_chunk,0,16
59,264916,270250,16,0,1,layered_block,shift,per_chunk,0,16
60,211000,215625,16,0,1,layered_block,shift,per_chunk,0,16
61,225791,230375,16,0,1,layered_block,shift,per_chunk,0,16
62,219083,224000,16,0,1,layered_block,shift,per_chunk,0,16
63,223334,227917,16,0,1,layered_block,shift,per_chunk,0,16
64,223708,228500,16,0,1,layered_block,shift,per_chunk,0,16
