block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,170750,174708,16,0,1,layered_block,shift,persistent,0,16
1,184500,188500,16,0,1,layered_block,shift,persistent,0,16
2,202459,206500,16,0,1,layered_block,shift,persistent,0,16
3,202417,206333,16,0,1,layered_block,shift,persistent,0,16
4,206250,210250,16,0,1,layered_block,shift,persistent,0,16
5,205625,209584,16,0,1,layered_block,shift,persistent,0,16
6,207584,211583,16,0,1,layered_block,shift,persistent,0,16
7,204834,208792,16,0,1,layered_block,shift,persistent,0,16
8,199917,203833,16,0,1,layered_block,shift,persistent,0,16
9,203625,207708,16,0,1,layered_block,shift,persistent,0,16
10,196542,200500,16,0,1,layered_block,shift,persistent,0,16
11,212000,215916,16,0,1,layered_block,shift,persistent,0,16
12,201792,205667,16,0,1,layered_block,shift,persistent,0,16
13,202167,206125,16,0,1,layered_block,shift,persistent,0,16
14,203458,207459,16,0,1,layered_block,shift,persistent,0,16
15,215417,219375,16,0,1,layered_block,shift,persistent,0,16
16,215959,220000,16,0,1,layered_block,shift,persistent,0,16
17,210666,214542,16,0,1,layered_block,shift,persistent,0,16
18,208125,212042,16,0,1,layered_block,shift,persistent,0,16
19,203500,207375,16,0,1,layered_block,shift,persistent,0,16
20,215917,219833,16,0,1,layered_block,shift,persistent,0,16
21,225541,229500,16,0,1,layered_block,shift,persistent,0,16
22,217292,221291,16,0,1,layered_block,shift,persistent,0,16
23,218833,222917,16,0,1,layered_block,shift,persistent,0,16
24,227083,231000,16,0,1,layered_block,shift,persistent,0,16
25,224291,228209,16,0,1,layered_block,shift,persistent,0,16
26,216083,219958,16,0,1,layered_block,shift,persistent,0,16
27,212584,216667,16,0,1,layered_block,shift,persistent,0,16
28,205167,209083,16,0,1,layered_block,shift,persistent,0,16
29,212208,216208,16,0,1,layered_block,shift,persistent,0,16
30,220875,224916,16,0,1,layered_block,shift,persistent,0,16
31,213333,217333,16,0,1,layered_block,shift,persistent,0,16
32,214000,217917,16,0,1,layered_block,shift,persistent,0,16
