block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,203708,207541,16,0,1,layered_block,circular,per_chunk,8,8
1,219792,223667,16,0,1,layered_block,circular,per_chunk,8,8
2,290750,295458,16,0,1,layered_block,circular,per_chunk,8,8
3,242250,246167,16,0,1,layered_block,circular,per_chunk,8,8
4,241166,245083,16,0,1,layered_block,circular,per_chunk,8,8
5,239625,243541,16,0,1,layered_block,circular,per_chunk,8,8
6,241750,245667,16,0,1,layered_block,circular,per_chunk,8,8
7,244792,248792,16,0,1,layered_block,circular,per_chunk,8,8
8,234500,238500,16,0,1,layered_block,circular,per_chunk,8,8
9,233125,236958,16,0,1,layered_block,circular,per_chunk,8,8
10,235959,239916,16,0,1,layered_block,circular,per_chunk,8,8
11,241750,245667,16,0,1,layered_block,circular,per_chunk,8,8
12,241959,245916,16,0,1,layered_block,circular,per_chunk,8,8
13,237209,241166,16,0,1,layered_block,circular,per_chunk,8,8
14,243042,246959,16,0,1,layered_block,circular,per_chunk,8,8
15,249625,253500,16,0,1,layered_block,circular,per_chunk,8,8
16,244125,248041,16,0,1,layered_block,circular,per_chunk,8,8
17,249250,253208,16,0,1,layered_block,circular,per_chunk,8,8
18,242459,246333,16,0,1,layered_block,circular,per_chunk,8,8
19,243959,247916,16,0,1,layered_block,circular,per_chunk,8,8
20,254959,258875,16,0,1,layered_block,circular,per_chunk,8,8
21,260042,264000,16,0,1,layered_block,circular,per_chunk,8,8
22,251792,255709,16,0,1,layered_block,circular,per_chunk,8,8
23,252958,256958,16,0,1,layered_block,circular,per_chunk,8,8
24,265500,269334,16,0,1,layered_block,circular,per_chunk,8,8
25,263500,267375,16,0,1,layered_block,circular,per_chunk,8,8
26,255417,259459,16,0,1,layered_block,circular,per_chunk,8,8
27,246875,250667,16,0,1,layered_block,circular,per_chunk,8,8
28,239208,243125,16,0,1,layered_block,circular,per_chunk,8,8
29,246750,250666,16,0,1,layered_block,circular,per_chunk,8,8
30,255458,259334,16,0,1,layered_block,circular,per_chunk,8,8
31,252250,256125,16,0,1,layered_block,circular,per_chunk,8,8
32,252875,256750,16,0,1,layered_block,circular,per_chunk,8,8
33,244375,248292,16,0,1,layered_block,circular,per_chunk,8,8
34,253417,257334,16,0,1,layered_block,circular,per_chunk,8,8
35,243000,246875,16,0,1,layered_block,circular,per_chunk,8,8
36,237666,241583,16,0,1,layered_block,circular,per_chunk,8,8
37,229542,233459,16,0,1,layered_block,circular,per_chunk,8,8
38,230375,234375,16,0,1,layered_block,circular,per_chunk,8,8
39,221834,225708,16,0,1,layered_block,circular,per_chunk,8,8
40,235458,239334,16,0,1,layered_block,circular,per_chunk,8,8
41,244584,248500,16,0,1,layered_block,circular,per_chunk,8,8
42,255500,259334,16,0,1,layered_block,circular,per_chunk,8,8
43,250458,254334,16,0,1,layered_block,circular,per_chunk,8,8
44,261167,265167,16,0,1,layered_block,circular,per_chunk,8,8
45,251375,255333,16,0,1,layered_block,circular,per_chunk,8,8
46,242959,246833,16,0,1,layered_block,circular,per_chunk,8,8
47,251916,255833,16,0,1,layered_block,circular,per_chunk,8,8
48,261500,265375,16,0,1,layered_block,circular,per_chunk,8,8
49,255041,259042,16,0,1,layered_block,circular,per_chunk,8,8
50,257083,261042,16,0,1,layered_block,circular,per_chunk,8,8
51,310750,314791,16,0,1,layered_block,circular,per_chunk,8,8
52,262709,266625,16,0,1,layered_block,circular,per_chunk,8,8
53,265375,269250,16,0,1,layered_block,circular,per_chunk,8,8
54,260167,264042,16,0,1,layered_block,circular,per_chunk,8,8
55,246708,250583,16,0,1,layered_block,circular,per_chunk,8,8
56,248416,252375,16,0,1,layered_block,circular,per_chunk,8,8
57,228709,232583,16,0,1,layered_block,circular,per_chunk,8,8
58,236250,240167,16,0,1,layered_block,circular,per_chunk,8,8
59,244667,248542,16,0,1,layered_block,circular,per_chunk,8,8
60,243625,247459,16,0,1,layered_block,circular,per_chunk,8,8
61,246333,250292,16,0,1,layered_block,circular,per_chunk,8,8
62,246750,254750,16,0,1,layered_block,circular,per_chunk,8,8
63,248916,252875,16,0,1,layered_block,circular,per_chunk,8,8
64,248375,252208,16,0,1,layered_block,circular,per_chunk,8,8
65,241459,245416,16,0,1,layered_block,circular,per_chunk,8,8
66,248583,252542,16,0,1,layered_block,circular,per_chunk,8,8
67,250375,254334,16,0,1,layered_block,circular,per_chunk,8,8
68,250875,254750,16,0,1,layered_block,circular,per_chunk,8,8
69,238375,242209,16,0,1,layered_block,circular,per_chunk,8,8
70,235583,239500,16,0,1,layered_block,circular,per_chunk,8,8
71,238458,242417,16,0,1,layered_block,circular,per_chunk,8,8
72,251000,254916,16,0,1,layered_block,circular,per_chunk,8,8
73,248250,252166,16,0,1,layered_block,circular,per_chunk,8,8
74,253042,256917,16,0,1,layered_block,circular,per_chunk,8,8
75,259875,263791,16,0,1,layered_block,circular,per_chunk,8,8
76,254416,258333,16,0,1,layered_block,circular,per_chunk,8,8
77,257208,261167,16,0,1,layered_block,circular,per_chunk,8,8
78,255541,259458,16,0,1,layered_block,circular,per_chunk,8,8
79,257750,261583,16,0,1,layered_block,circular,per_chunk,8,8
80,260500,264458,16,0,1,layered_block,circular,per_chunk,8,8
81,265625,269584,16,0,1,layered_block,circular,per_chunk,8,8
82,256666,260542,16,0,1,layered_block,circular,per_chunk,8,8
83,256917,260833,16,0,1,layered_block,circular,per_chunk,8,8
84,243834,247708,16,0,1,layered_block,circular,per_chunk,8,8
85,232792,236625,16,0,1,layered_block,circular,per_chunk,8,8
86,224709,228666,16,0,1,layered_block,circular,per_chunk,8,8
87,226166,230125,16,0,1,layered_block,circular,per_chunk,8,8
88,240166,244042,16,0,1,layered_block,circular,per_chunk,8,8
89,244625,248584,16,0,1,layered_block,circular,per_chunk,8,8
90,250041,253958,16,0,1,layered_block,circular,per_chunk,8,8
91,242042,245958,16,0,1,layered_block,circular,per_chunk,8,8
92,232459,236375,16,0,1,layered_block,circular,per_chunk,8,8
93,234750,238708,16,0,1,layered_block,circular,per_chunk,8,8
94,231042,234958,16,0,1,layered_block,circular,per_chunk,8,8
95,244625,248541,16,0,1,layered_block,circular,per_chunk,8,8
96,241125,245042,16,0,1,layered_block,circular,per_chunk,8,8
97,230375,234250,16,0,1,layered_block,circular,per_chunk,8,8
98,232875,236834,16,0,1,layered_block,circular,per_chunk,8,8
99,249625,253542,16,0,1,layered_block,circular,per_chunk,8,8
100,255958,259959,16,0,0,layered_block,circular,per_chunk,8,8
101,252500,256416,16,0,0,layered_block,circular,per_chunk,8,8
102,255750,259708,16,0,0,layered_block,circular,per_chunk,8,8
103,250750,254792,16,0,0,layered_block,circular,per_chunk,8,8
104,259875,263834,16,0,0,layered_block,circular,per_chunk,8,8
105,252917,256833,16,0,0,layered_block,circular,per_chunk,8,8
106,250792,254708,16,0,0,layered_block,circular,per_chunk,8,8
107,310083,314375,16,0,0,layered_block,circular,per_chunk,8,8
108,264042,267958,16,0,0,layered_block,circular,per_chunk,8,8
109,251625,255500,16,0,0,layered_block,circular,per_chunk,8,8
110,248709,252584,16,0,0,layered_block,circular,per_chunk,8,8
111,239459,243375,16,0,0,layered_block,circular,per_chunk,8,8
112,228417,232250,16,0,0,layered_block,circular,per_chunk,8,8
113,235833,239750,16,0,0,layered_block,circular,per_chunk,8,8
114,233666,237542,16,0,0,layered_block,circular,per_chunk,8,8
115,231500,235417,16,0,0,layered_block,circular,per_chunk,8,8
116,235917,239833,16,0,0,layered_block,circular,per_chunk,8,8
117,239792,247875,16,0,0,layered_block,circular,per_chunk,8,8
118,243666,247583,16,0,0,layered_block,circular,per_chunk,8,8
119,241000,244875,16,0,0,layered_block,circular,per_chunk,8,8
120,240084,244041,16,0,0,layered_block,circular,per_chunk,8,8
121,241417,245292,16,0,0,layered_block,circular,per_chunk,8,8
122,243583,247416,16,0,0,layered_block,circular,per_chunk,8,8
123,240250,244125,16,0,0,layered_block,circular,per_chunk,8,8
124,234291,238250,16,0,0,layered_block,circular,per_chunk,8,8
125,240166,244042,16,0,0,layered_block,circular,per_chunk,8,8
126,247000,250917,16,0,0,layered_block,circular,per_chunk,8,8
127,250291,254250,16,0,0,layered_block,circular,per_chunk,8,8
128,253791,257709,16,0,0,layered_block,circular,per_chunk,8,8
129,251125,255083,16,0,0,layered_block,circular,per_chunk,8,8
130,253500,257417,16,0,0,layered_block,circular,per_chunk,8,8
131,260000,263875,16,0,0,layered_block,circular,per_chunk,8,8
132,260041,263875,16,0,0,layered_block,circular,per_chunk,8,8
133,299583,303708,16,0,0,layered_block,circular,per_chunk,8,8
134,256458,260375,16,0,0,layered_block,circular,per_chunk,8,8
135,263959,267916,16,0,0,layered_block,circular,per_chunk,8,8
136,255125,259083,16,0,0,layered_block,circular,per_chunk,8,8
137,257917,261834,16,0,0,layered_block,circular,per_chunk,8,8
138,254750,258667,16,0,0,layered_block,circular,per_chunk,8,8
139,248125,252000,16,0,0,layered_block,circular,per_chunk,8,8
140,231875,235709,16,0,0,layered_block,circular,per_chunk,8,8
141,226250,230167,16,0,0,layered_block,circular,per_chunk,8,8
142,227083,231042,16,0,0,layered_block,circular,per_chunk,8,8
143,227500,231375,16,0,0,layered_block,circular,per_chunk,8,8
144,236583,240542,16,0,0,layered_block,circular,per_chunk,8,8
145,281250,285375,16,0,0,layered_block,circular,per_chunk,8,8
