block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,200750,204500,16,0,1,fused_streaming,circular,persistent,4,4
1,212208,216000,16,0,1,fused_streaming,circular,persistent,4,4
2,228916,232792,16,0,1,fused_streaming,circular,persistent,4,4
3,273333,282833,16,0,1,fused_streaming,circular,persistent,4,4
4,237291,241250,16,0,1,fused_streaming,circular,persistent,4,4
5,240875,244708,16,0,1,fused_streaming,circular,persistent,4,4
6,233917,237750,16,0,1,fused_streaming,circular,persistent,4,4
7,241000,244834,16,0,1,fused_streaming,circular,persistent,4,4
8,236416,240333,16,0,1,fused_streaming,circular,persistent,4,4
9,234167,238042,16,0,1,fused_streaming,circular,persistent,4,4
10,232458,236334,16,0,1,fused_streaming,circular,persistent,4,4
11,243250,247083,16,0,1,fused_streaming,circular,persistent,4,4
12,232750,236583,16,0,1,fused_streaming,circular,persistent,4,4
13,228042,231875,16,0,1,fused_streaming,circular,persistent,4,4
14,239208,243042,16,0,1,fused_streaming,circular,persistent,4,4
15,240792,244666,16,0,1,fused_streaming,circular,persistent,4,4
16,240834,249333,16,0,1,fused_streaming,circular,persistent,4,4
17,246209,250125,16,0,1,fused_streaming,circular,persistent,4,4
18,233917,237792,16,0,1,fused_streaming,circular,persistent,4,4
19,235042,238834,16,0,1,fused_streaming,circular,persistent,4,4
20,251542,255417,16,0,1,fused_streaming,circular,persistent,4,4
21,255541,259458,16,0,1,fused_streaming,circular,persistent,4,4
22,247792,251666,16,0,1,fused_streaming,circular,persistent,4,4
23,248833,252667,16,0,1,fused_streaming,circular,persistent,4,4
24,262209,266083,16,0,1,fused_streaming,circular,persistent,4,4
25,259833,263709,16,0,1,fused_streaming,circular,persistent,4,4
26,251209,255166,16,0,1,fused_streaming,circular,persistent,4,4
27,242917,246834,16,0,1,fused_streaming,circular,persistent,4,4
28,241417,245334,16,0,1,fused_streaming,circular,persistent,4,4
29,243291,247250,16,0,1,fused_streaming,circular,persistent,4,4
30,251458,255333,16,0,1,fused_streaming,circular,persistent,4,4
31,249459,253291,16,0,1,fused_streaming,circular,persistent,4,4
32,249416,253333,16,0,1,fused_streaming,circular,persistent,4,4
33,241000,244875,16,0,1,fused_streaming,circular,persistent,4,4
34,244958,248792,16,0,1,fused_streaming,circular,persistent,4,4
35,244042,248000,16,0,1,fused_streaming,circular,persistent,4,4
36,233583,237500,16,0,1,fused_streaming,circular,persistent,4,4
37,230916,234792,16,0,1,fused_streaming,circular,persistent,4,4
38,222042,225875,16,0,1,fused_streaming,circular,persistent,4,4
39,224750,228709,16,0,1,fused_streaming,circular,persistent,4,4
40,227458,231292,16,0,1,fused_streaming,circular,persistent,4,4
41,235958,239792,16,0,1,fused_streaming,circular,persistent,4,4
42,252084,255916,16,0,1,fused_streaming,circular,persistent,4,4
43,285125,289375,16,0,1,fused_streaming,circular,persistent,4,4
44,255458,259333,16,0,1,fused_streaming,circular,persistent,4,4
45,248250,252125,16,0,1,fused_streaming,circular,persistent,4,4
46,243833,247666,16,0,1,fused_streaming,circular,persistent,4,4
47,248000,251833,16,0,1,fused_streaming,circular,persistent,4,4
48,257708,261584,16,0,1,fused_streaming,circular,persistent,4,4
49,251584,255458,16,0,1,fused_streaming,circular,persistent,4,4
50,252834,256708,16,0,1,fused_streaming,circular,persistent,4,4
51,258333,262167,16,0,1,fused_streaming,circular,persistent,4,4
52,264917,268750,16,0,1,fused_streaming,circular,persistent,4,4
53,262041,265917,16,0,1,fused_streaming,circular,persistent,4,4
54,251375,255125,16,0,1,fused_streaming,circular,persistent,4,4
55,243917,247750,16,0,1,fused_streaming,circular,persistent,4,4
56,244375,248250,16,0,1,fused_streaming,circular,persistent,4,4
57,229917,233750,16,0,1,fused_streaming,circular,persistent,4,4
58,232750,236625,16,0,1,fused_streaming,circular,persistent,4,4
59,240458,244333,16,0,1,fused_streaming,circular,persistent,4,4
60,235541,239375,16,0,1,fused_streaming,circular,persistent,4,4
61,246959,250833,16,0,1,fused_streaming,circular,persistent,4,4
62,247791,251625,16,0,1,fused_streaming,circular,persistent,4,4
63,244791,248792,16,0,1,fused_streaming,circular,persistent,4,4
64,244875,248792,16,0,1,fused_streaming,circular,persistent,4,4
65,242292,246166,16,0,1,fused_streaming,circular,persistent,4,4
66,244625,248541,16,0,1,fused_streaming,circular,persistent,4,4
67,246125,250083,16,0,1,fused_streaming,circular,persistent,4,4
68,246958,250792,16,0,1,fused_streaming,circular,persistent,4,4
69,283167,287292,16,0,1,fused_streaming,circular,persistent,4,4
70,237333,241292,16,0,1,fused_streaming,circular,persistent,4,4
71,235666,239625,16,0,1,fused_streaming,circular,persistent,4,4
72,246500,250375,16,0,1,fused_streaming,circular,persistent,4,4
73,239625,243417,16,0,1,fused_streaming,circular,persistent,4,4
74,249375,253250,16,0,1,fused_streaming,circular,persistent,4,4
75,257250,261166,16,0,1,fused_streaming,circular,persistent,4,4
76,255458,259375,16,0,1,fused_streaming,circular,persistent,4,4
77,253583,257542,16,0,1,fused_streaming,circular,persistent,4,4
78,251417,255334,16,0,1,fused_streaming,circular,persistent,4,4
79,259125,262916,16,0,1,fused_streaming,circular,persistent,4,4
80,301292,305375,16,0,1,fused_streaming,circular,persistent,4,4
81,254625,258458,16,0,1,fused_streaming,circular,persistent,4,4
82,253125,256959,16,0,1,fused_streaming,circular,persistent,4,4
83,253166,257083,16,0,1,fused_streaming,circular,persistent,4,4
84,235250,239083,16,0,1,fused_streaming,circular,persistent,4,4
85,228875,232750,16,0,1,fused_streaming,circular,persistent,4,4
86,260583,264584,16,0,1,fused_streaming,circular,persistent,4,4
87,217750,221583,16,0,1,fused_streaming,circular,persistent,4,4
88,232541,236375,16,0,1,fused_streaming,circular,persistent,4,4
89,240833,244709,16,0,1,fused_streaming,circular,persistent,4,4
90,241375,245208,16,0,1,fused_streaming,circular,persistent,4,4
91,243667,247542,16,0,1,fused_streaming,circular,persistent,4,4
92,233917,237833,16,0,1,fused_streaming,circular,persistent,4,4
93,232417,240500,16,0,1,fused_streaming,circular,persistent,4,4
94,232333,236250,16,0,1,fused_streaming,circular,persistent,4,4
95,235959,239791,16,0,1,fused_streaming,circular,persistent,4,4
96,242208,246083,16,0,1,fused_streaming,circular,persistent,4,4
97,231667,235541,16,0,1,fused_streaming,circular,persistent,4,4
98,221958,225833,16,0,1,fused_streaming,circular,persistent,4,4
99,246750,250667,16,0,1,fused_streaming,circular,persistent,4,4
100,249500,253500,16,0,0,fused_streaming,circular,persistent,4,4
101,249583,253375,16,0,0,fused_streaming,circular,persistent,4,4
102,251375,255542,16,0,0,fused_streaming,circular,persistent,4,4
103,248166,251958,16,0,0,fused_streaming,circular,persistent,4,4
104,255958,259959,16,0,0,fused_streaming,circular,persistent,4,4
105,249417,253417,16,0,0,fused_streaming,circular,persistent,4,4
106,247500,251333,16,0,0,fused_streaming,circular,persistent,4,4
107,259584,263500,16,0,0,fused_streaming,circular,persistent,4,4
108,260292,264125,16,0,0,fused_streaming,circular,persistent,4,4
109,248375,252167,16,0,0,fused_streaming,circular,persistent,4,4
110,250125,254041,16,0,0,fused_streaming,circular,persistent,4,4
111,240833,245125,16,0,0,fused_streaming,circular,persistent,4,4
112,230000,233958,16,0,0,fused_streaming,circular,persistent,4,4
113,227375,231209,16,0,0,fused_streaming,circular,persistent,4,4
114,225584,229375,16,0,0,fused_streaming,circular,persistent,4,4
115,232458,236500,16,0,0,fused_streaming,circular,persistent,4,4
116,231916,235833,16,0,0,fused_streaming,circular,persistent,4,4
117,241542,245792,16,0,0,fused_streaming,circular,persistent,4,4
118,235167,239083,16,0,0,fused_streaming,circular,persistent,4,4
119,232208,236042,16,0,0,fused_streaming,circular,persistent,4,4
120,236792,240625,16,0,0,fused_streaming,circular,persistent,4,4
121,237833,241917,16,0,0,fused_streaming,circular,persistent,4,4
122,235250,239042,16,0,0,fused_streaming,circular,persistent,4,4
123,231375,235209,16,0,0,fused_streaming,circular,persistent,4,4
124,225917,229750,16,0,0,fused_streaming,circular,persistent,4,4
125,231875,235708,16,0,0,fused_streaming,circular,persistent,4,4
126,243042,247042,16,0,0,fused_streaming,circular,persistent,4,4
127,246458,250334,16,0,0,fused_streaming,circular,persistent,4,4
128,249458,253333,16,0,0,fused_streaming,circular,persistent,4,4
129,247167,251125,16,0,0,fused_streaming,circular,persistent,4,4
130,249250,253083,16,0,0,fused_streaming,circular,persistent,4,4
131,251250,255083,16,0,0,fused_streaming,circular,persistent,4,4
132,295583,299666,16,0,0,fused_streaming,circular,persistent,4,4
133,249333,253375,16,0,0,fused_streaming,circular,persistent,4,4
134,253250,257125,16,0,0,fused_streaming,circular,persistent,4,4
135,259792,263625,16,0,0,fused_streaming,circular,persistent,4,4
136,256458,260292,16,0,0,fused_streaming,circular,persistent,4,4
137,254541,258417,16,0,0,fused_streaming,circular,persistent,4,4
138,246834,250584,16,0,0,fused_streaming,circular,persistent,4,4
139,280875,285459,16,0,0,fused_streaming,circular,persistent,4,4
140,233750,237667,16,0,0,fused_streaming,circular,persistent,4,4
141,222666,226583,16,0,0,fused_streaming,circular,persistent,4,4
142,218375,222209,16,0,0,fused_streaming,circular,persistent,4,4
143,229416,233291,16,0,0,fused_streaming,circular,persistent,4,4
144,233833,237708,16,0,0,fused_streaming,circular,persistent,4,4
145,238917,242792,16,0,0,fused_streaming,circular,persistent,4,4
146,244916,248875,16,0,0,fused_streaming,circular,persistent,4,4
147,241209,245125,16,0,0,fused_streaming,circular,persistent,4,4
