configuration,source_csv,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames,total_rows,warmup_rows,measured_rows,channel_count,model_mean_ns_per_block,model_p99_ns_per_block,model_max_ns_per_block,model_stddev_ns_per_block,block_mean_ns_per_block,block_p99_ns_per_block,block_max_ns_per_block,block_stddev_ns_per_block,model_mean_us_per_sample,model_stddev_us_per_sample,model_p99_us_per_sample,model_max_us_per_sample,block_mean_us_per_sample,block_stddev_us_per_sample,block_p99_us_per_sample,block_max_us_per_sample,block_overruns,block_overrun_pct,model_cv_pct,block_cv_pct
Naive control,chunk_sweep_naive_chunk1.csv,layered_block,shift,per_chunk,1,1,14700,100,14600,1,231395.86561643836,290041.42,653333.0,23568.324635754954,236458.63979452054,295375.0,658958.0,23716.047000019254,14.462241601027397,1.4730202897346847,18.127588749999997,40.8333125,14.778664987157534,1.4822529375012035,18.4609375,41.184875,10,0.0684931506849315,10.185283377025325,10.029680886529748
Naive control,chunk_sweep_naive_chunk2.csv,layered_block,shift,per_chunk,2,2,14700,100,14600,1,215240.9412328767,275668.09,33790667.0,278705.7784404336,219356.62726027396,280125.0,33797250.0,278734.62571426656,13.452558827054794,17.4191111525271,17.229255625,2111.9166875,13.709789203767123,17.42091410714166,17.5078125,2112.328125,11,0.07534246575342465,129.48548582069807,127.06916093469044
Naive control,chunk_sweep_naive_chunk4.csv,layered_block,shift,per_chunk,4,4,14700,100,14600,1,207875.085,268917.0,598166.0,20582.589888604114,211944.54369863015,273334.25,602833.0,20640.69862358948,12.992192812499999,1.2864118680377572,16.8073125,37.385375,13.246533981164385,1.2900436639743424,17.083390625,37.6770625,5,0.03424657534246575,9.901422235668173,9.738726113628603
Naive control,chunk_sweep_naive_chunk8.csv,layered_block,shift,per_chunk,8,8,14700,100,14600,1,205854.08890410958,266500.42,416333.0,19877.85693898927,209953.24102739725,270791.01,420667.0,19960.452768493422,12.865880556506848,1.2423660586868293,16.656276249999998,26.0208125,13.122077564212328,1.2475282980308389,16.924438125,26.2916875,1,0.00684931506849315,9.656284723228753,9.507094375308425
Naive control,chunk_sweep_naive_chunk16.csv,layered_block,shift,per_chunk,16,16,14700,100,14600,1,206774.38684931508,263625.41000000003,33594916.0,277027.46367338084,210810.7165068493,267834.83,33600959.0,277048.9083420858,12.923399178082192,17.314216479586303,16.476588125000003,2099.68225,13.175669781678081,17.31555677138036,16.739676875,2100.0599375,1,0.00684931506849315,133.9757152201167,131.42069479806753
Fused only,chunk_sweep_fused_chunk1.csv,fused_streaming,shift,per_chunk,1,1,14700,100,14600,1,205413.44061643837,259459.41,33711834.0,392226.72864748165,209537.38034246577,263958.42,33718375.0,392256.7682962567,12.838340038527399,24.514170540467603,16.216213125,2106.989625,13.096086271404111,24.516048018516045,16.49740125,2107.3984375,6,0.0410958904109589,190.94501677710247,187.2013326000145
Fused only,chunk_sweep_fused_chunk2.csv,fused_streaming,shift,per_chunk,2,2,14700,100,14600,1,201866.33869863013,260041.42,33601791.0,277148.04659672675,205851.8598630137,264333.42,33607917.0,277171.1881315909,12.616646168664383,17.321752912295423,16.25258875,2100.1119375,12.865741241438355,17.32319925822443,16.52083875,2100.4948125,2,0.0136986301369863,137.2928485171993,134.64594797250675
Fused only,chunk_sweep_fused_chunk4.csv,fused_streaming,shift,per_chunk,4,4,14700,100,14600,1,203791.41143835615,258835.09000000005,33614250.0,391387.4013106516,207824.4233561644,263462.32000000007,33619208.0,391432.19784632284,12.73696321489726,24.461712581915727,16.177193125000002,2100.890625,12.989026459760275,24.464512365395176,16.466395000000006,2101.2005,4,0.0273972602739726,192.05294204905215,188.347544299688
Fused only,chunk_sweep_fused_chunk8.csv,fused_streaming,shift,per_chunk,8,8,14700,100,14600,1,201289.68828767122,258085.09000000005,33612375.0,277258.9112224067,205302.01993150686,262419.0800000001,33629750.0,277376.5078587709,12.580605517979452,17.32868195140042,16.130318125000002,2100.7734375,12.831376245719179,17.33603174117318,16.401192500000004,2101.859375,3,0.02054794520547945,137.7412392959568,135.10656541582475
Fused only,chunk_sweep_fused_chunk16.csv,fused_streaming,shift,per_chunk,16,16,14700,100,14600,1,201163.24883561642,256458.42,33640666.0,277453.93403156614,205186.2941780822,261209.82,33648250.0,277490.3304199312,12.572703052226027,17.340870876972883,16.02865125,2102.541625,12.824143386130137,17.3431456512457,16.32561375,2103.015625,2,0.0136986301369863,137.92476291645687,135.23823875833344
