block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,165375,169166,16,0,1,fused_streaming,shift,per_chunk,2,2
1,177250,181041,16,0,1,fused_streaming,shift,per_chunk,2,2
2,194667,198459,16,0,1,fused_streaming,shift,per_chunk,2,2
3,199291,203167,16,0,1,fused_streaming,shift,per_chunk,2,2
4,203666,207542,16,0,1,fused_streaming,shift,per_chunk,2,2
5,252250,256333,16,0,1,fused_streaming,shift,per_chunk,2,2
6,204292,208125,16,0,1,fused_streaming,shift,per_chunk,2,2
7,202458,206334,16,0,1,fused_streaming,shift,per_chunk,2,2
8,202500,206416,16,0,1,fused_streaming,shift,per_chunk,2,2
9,200125,204000,16,0,1,fused_streaming,shift,per_chunk,2,2
10,198791,202708,16,0,1,fused_streaming,shift,per_chunk,2,2
11,209542,213375,16,0,1,fused_streaming,shift,per_chunk,2,2
12,199416,203292,16,0,1,fused_streaming,shift,per_chunk,2,2
13,194167,198041,16,0,1,fused_streaming,shift,per_chunk,2,2
14,200708,204542,16,0,1,fused_streaming,shift,per_chunk,2,2
15,212542,216416,16,0,1,fused_streaming,shift,per_chunk,2,2
16,211833,215833,16,0,1,fused_streaming,shift,per_chunk,2,2
17,207625,211458,16,0,1,fused_streaming,shift,per_chunk,2,2
18,204833,208750,16,0,1,fused_streaming,shift,per_chunk,2,2
19,201167,205000,16,0,1,fused_streaming,shift,per_chunk,2,2
20,217792,221750,16,0,1,fused_streaming,shift,per_chunk,2,2
21,222583,226500,16,0,1,fused_streaming,shift,per_chunk,2,2
22,210125,213959,16,0,1,fused_streaming,shift,per_chunk,2,2
23,211250,215084,16,0,1,fused_streaming,shift,per_chunk,2,2
24,229125,233000,16,0,1,fused_streaming,shift,per_chunk,2,2
25,226459,230333,16,0,1,fused_streaming,shift,per_chunk,2,2
26,218125,222041,16,0,1,fused_streaming,shift,per_chunk,2,2
27,204875,208750,16,0,1,fused_streaming,shift,per_chunk,2,2
28,206875,210750,16,0,1,fused_streaming,shift,per_chunk,2,2
29,204166,207958,16,0,1,fused_streaming,shift,per_chunk,2,2
30,218166,222042,16,0,1,fused_streaming,shift,per_chunk,2,2
31,215416,219333,16,0,1,fused_streaming,shift,per_chunk,2,2
32,216583,220667,16,0,1,fused_streaming,shift,per_chunk,2,2
33,211959,215833,16,0,1,fused_streaming,shift,per_chunk,2,2
34,216750,220750,16,0,1,fused_streaming,shift,per_chunk,2,2
35,210792,214750,16,0,1,fused_streaming,shift,per_chunk,2,2
36,200417,204334,16,0,1,fused_streaming,shift,per_chunk,2,2
37,196708,200584,16,0,1,fused_streaming,shift,per_chunk,2,2
38,187458,191333,16,0,1,fused_streaming,shift,per_chunk,2,2
39,189500,193375,16,0,1,fused_streaming,shift,per_chunk,2,2
40,193458,197250,16,0,1,fused_streaming,shift,per_chunk,2,2
41,246416,250416,16,0,1,fused_streaming,shift,per_chunk,2,2
42,218709,222541,16,0,1,fused_streaming,shift,per_chunk,2,2
43,214584,218500,16,0,1,fused_streaming,shift,per_chunk,2,2
44,221958,225834,16,0,1,fused_streaming,shift,per_chunk,2,2
45,219500,223375,16,0,1,fused_streaming,shift,per_chunk,2,2
46,210833,214792,16,0,1,fused_streaming,shift,per_chunk,2,2
47,210125,213958,16,0,1,fused_streaming,shift,per_chunk,2,2
48,224500,228375,16,0,1,fused_streaming,shift,per_chunk,2,2
49,218000,221875,16,0,1,fused_streaming,shift,per_chunk,2,2
50,259750,263791,16,0,1,fused_streaming,shift,per_chunk,2,2
51,224833,228667,16,0,1,fused_streaming,shift,per_chunk,2,2
52,226833,230667,16,0,1,fused_streaming,shift,per_chunk,2,2
53,224333,228167,16,0,1,fused_streaming,shift,per_chunk,2,2
54,218542,222375,16,0,1,fused_streaming,shift,per_chunk,2,2
55,259208,263208,16,0,1,fused_streaming,shift,per_chunk,2,2
56,206625,210375,16,0,1,fused_streaming,shift,per_chunk,2,2
57,245000,249208,16,0,1,fused_streaming,shift,per_chunk,2,2
58,198458,202458,16,0,1,fused_streaming,shift,per_chunk,2,2
59,202708,206500,16,0,1,fused_streaming,shift,per_chunk,2,2
60,207333,211167,16,0,1,fused_streaming,shift,per_chunk,2,2
61,208750,212625,16,0,1,fused_streaming,shift,per_chunk,2,2
62,214291,218167,16,0,1,fused_streaming,shift,per_chunk,2,2
63,206625,210458,16,0,1,fused_streaming,shift,per_chunk,2,2
64,211291,215166,16,0,1,fused_streaming,shift,per_chunk,2,2
65,209542,213500,16,0,1,fused_streaming,shift,per_chunk,2,2
66,206584,210458,16,0,1,fused_streaming,shift,per_chunk,2,2
67,254375,258458,16,0,1,fused_streaming,shift,per_chunk,2,2
68,213542,217417,16,0,1,fused_streaming,shift,per_chunk,2,2
69,207416,211458,16,0,1,fused_streaming,shift,per_chunk,2,2
70,203250,207167,16,0,1,fused_streaming,shift,per_chunk,2,2
71,245167,249209,16,0,1,fused_streaming,shift,per_chunk,2,2
72,207666,211500,16,0,1,fused_streaming,shift,per_chunk,2,2
73,211000,214916,16,0,1,fused_streaming,shift,per_chunk,2,2
74,216125,220042,16,0,1,fused_streaming,shift,per_chunk,2,2
75,223541,227417,16,0,1,fused_streaming,shift,per_chunk,2,2
76,221791,225708,16,0,1,fused_streaming,shift,per_chunk,2,2
77,219334,223250,16,0,1,fused_streaming,shift,per_chunk,2,2
78,213750,217583,16,0,1,fused_streaming,shift,per_chunk,2,2
79,225667,229583,16,0,1,fused_streaming,shift,per_chunk,2,2
80,270291,274250,16,0,1,fused_streaming,shift,per_chunk,2,2
81,221625,225500,16,0,1,fused_streaming,shift,per_chunk,2,2
82,219208,223125,16,0,1,fused_streaming,shift,per_chunk,2,2
83,219583,223500,16,0,1,fused_streaming,shift,per_chunk,2,2
84,201500,205333,16,0,1,fused_streaming,shift,per_chunk,2,2
85,189709,193459,16,0,1,fused_streaming,shift,per_chunk,2,2
86,186500,190375,16,0,1,fused_streaming,shift,per_chunk,2,2
87,188167,192125,16,0,1,fused_streaming,shift,per_chunk,2,2
88,203125,207041,16,0,1,fused_streaming,shift,per_chunk,2,2
89,202750,206583,16,0,1,fused_streaming,shift,per_chunk,2,2
90,212791,216667,16,0,1,fused_streaming,shift,per_chunk,2,2
91,209958,213959,16,0,1,fused_streaming,shift,per_chunk,2,2
92,199875,203792,16,0,1,fused_streaming,shift,per_chunk,2,2
93,202209,206084,16,0,1,fused_streaming,shift,per_chunk,2,2
94,198959,202791,16,0,1,fused_streaming,shift,per_chunk,2,2
95,202792,211459,16,0,1,fused_streaming,shift,per_chunk,2,2
96,208417,212625,16,0,1,fused_streaming,shift,per_chunk,2,2
97,198042,201916,16,0,1,fused_streaming,shift,per_chunk,2,2
98,187292,191125,16,0,1,fused_streaming,shift,per_chunk,2,2
99,207083,210917,16,0,1,fused_streaming,shift,per_chunk,2,2
100,211375,215208,16,0,0,fused_streaming,shift,per_chunk,2,2
101,210500,214334,16,0,0,fused_streaming,shift,per_chunk,2,2
102,213083,216875,16,0,0,fused_streaming,shift,per_chunk,2,2
103,218500,222375,16,0,0,fused_streaming,shift,per_chunk,2,2
104,222417,226375,16,0,0,fused_streaming,shift,per_chunk,2,2
