block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,177333,181209,16,0,1,layered_block,shift,per_chunk,8,8
1,183667,187709,16,0,1,layered_block,shift,per_chunk,8,8
2,200792,204709,16,0,1,layered_block,shift,per_chunk,8,8
3,205166,209083,16,0,1,layered_block,shift,per_chunk,8,8
4,210125,214125,16,0,1,layered_block,shift,per_chunk,8,8
5,214125,218125,16,0,1,layered_block,shift,per_chunk,8,8
6,205542,209459,16,0,1,layered_block,shift,per_chunk,8,8
7,212917,216834,16,0,1,layered_block,shift,per_chunk,8,8
8,208458,212459,16,0,1,layered_block,shift,per_chunk,8,8
9,207083,211083,16,0,1,layered_block,shift,per_chunk,8,8
10,205208,209209,16,0,1,layered_block,shift,per_chunk,8,8
11,215875,219833,16,0,1,layered_block,shift,per_chunk,8,8
12,210833,214792,16,0,1,layered_block,shift,per_chunk,8,8
13,205625,209583,16,0,1,layered_block,shift,per_chunk,8,8
14,213000,217333,16,0,1,layered_block,shift,per_chunk,8,8
15,218500,222500,16,0,1,layered_block,shift,per_chunk,8,8
16,219791,223875,16,0,1,layered_block,shift,per_chunk,8,8
17,218667,222583,16,0,1,layered_block,shift,per_chunk,8,8
18,206292,210250,16,0,1,layered_block,shift,per_chunk,8,8
19,206667,210625,16,0,1,layered_block,shift,per_chunk,8,8
20,225541,229583,16,0,1,layered_block,shift,per_chunk,8,8
21,223584,227500,16,0,1,layered_block,shift,per_chunk,8,8
22,221083,225042,16,0,1,layered_block,shift,per_chunk,8,8
23,217125,221084,16,0,1,layered_block,shift,per_chunk,8,8
24,235125,239000,16,0,1,layered_block,shift,per_chunk,8,8
25,233125,237084,16,0,1,layered_block,shift,per_chunk,8,8
26,219750,223667,16,0,1,layered_block,shift,per_chunk,8,8
27,210875,214875,16,0,1,layered_block,shift,per_chunk,8,8
28,213292,217250,16,0,1,layered_block,shift,per_chunk,8,8
29,210334,214333,16,0,1,layered_block,shift,per_chunk,8,8
30,224500,228458,16,0,1,layered_block,shift,per_chunk,8,8
31,222167,226042,16,0,1,layered_block,shift,per_chunk,8,8
32,222917,226875,16,0,1,layered_block,shift,per_chunk,8,8
33,218291,222250,16,0,1,layered_block,shift,per_chunk,8,8
34,222500,226542,16,0,1,layered_block,shift,per_chunk,8,8
35,217375,221333,16,0,1,layered_block,shift,per_chunk,8,8
36,201083,205000,16,0,1,layered_block,shift,per_chunk,8,8
37,197917,202125,16,0,1,layered_block,shift,per_chunk,8,8
38,199250,203291,16,0,1,layered_block,shift,per_chunk,8,8
39,192750,197250,16,0,1,layered_block,shift,per_chunk,8,8
40,204542,208541,16,0,1,layered_block,shift,per_chunk,8,8
41,208625,212583,16,0,1,layered_block,shift,per_chunk,8,8
42,225125,229041,16,0,1,layered_block,shift,per_chunk,8,8
43,219958,224000,16,0,1,layered_block,shift,per_chunk,8,8
44,228375,232333,16,0,1,layered_block,shift,per_chunk,8,8
45,227500,231542,16,0,1,layered_block,shift,per_chunk,8,8
46,217583,221625,16,0,1,layered_block,shift,per_chunk,8,8
47,221667,225583,16,0,1,layered_block,shift,per_chunk,8,8
48,230625,234542,16,0,1,layered_block,shift,per_chunk,8,8
49,218833,222666,16,0,1,layered_block,shift,per_chunk,8,8
50,221084,225000,16,0,1,layered_block,shift,per_chunk,8,8
51,231417,235292,16,0,1,layered_block,shift,per_chunk,8,8
52,282500,286542,16,0,1,layered_block,shift,per_chunk,8,8
53,234833,238792,16,0,1,layered_block,shift,per_chunk,8,8
54,224083,228000,16,0,1,layered_block,shift,per_chunk,8,8
55,221250,225208,16,0,1,layered_block,shift,per_chunk,8,8
56,217334,221417,16,0,1,layered_block,shift,per_chunk,8,8
57,196875,200708,16,0,1,layered_block,shift,per_chunk,8,8
58,204250,208250,16,0,1,layered_block,shift,per_chunk,8,8
59,213334,217250,16,0,1,layered_block,shift,per_chunk,8,8
60,207500,211458,16,0,1,layered_block,shift,per_chunk,8,8
61,219958,223875,16,0,1,layered_block,shift,per_chunk,8,8
62,220875,224750,16,0,1,layered_block,shift,per_chunk,8,8
63,212417,216417,16,0,1,layered_block,shift,per_chunk,8,8
64,212625,216541,16,0,1,layered_block,shift,per_chunk,8,8
65,215709,219666,16,0,1,layered_block,shift,per_chunk,8,8
66,217666,221625,16,0,1,layered_block,shift,per_chunk,8,8
67,213833,217709,16,0,1,layered_block,shift,per_chunk,8,8
68,220250,224208,16,0,1,layered_block,shift,per_chunk,8,8
69,212708,216667,16,0,1,layered_block,shift,per_chunk,8,8
70,204458,208333,16,0,1,layered_block,shift,per_chunk,8,8
71,203208,207167,16,0,1,layered_block,shift,per_chunk,8,8
72,213292,217292,16,0,1,layered_block,shift,per_chunk,8,8
73,212542,216417,16,0,1,layered_block,shift,per_chunk,8,8
74,222417,226334,16,0,1,layered_block,shift,per_chunk,8,8
75,228334,232291,16,0,1,layered_block,shift,per_chunk,8,8
76,227875,231792,16,0,1,layered_block,shift,per_chunk,8,8
77,227417,231417,16,0,1,layered_block,shift,per_chunk,8,8
78,219292,223208,16,0,1,layered_block,shift,per_chunk,8,8
79,231667,235542,16,0,1,layered_block,shift,per_chunk,8,8
80,229917,233875,16,0,1,layered_block,shift,per_chunk,8,8
81,227250,231208,16,0,1,layered_block,shift,per_chunk,8,8
82,267542,271666,16,0,1,layered_block,shift,per_chunk,8,8
83,220750,224750,16,0,1,layered_block,shift,per_chunk,8,8
84,207917,211834,16,0,1,layered_block,shift,per_chunk,8,8
