block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,170500,174292,16,0,1,layered_block,shift,persistent,16,16
1,180208,184000,16,0,1,layered_block,shift,persistent,16,16
2,197583,201459,16,0,1,layered_block,shift,persistent,16,16
3,202125,205958,16,0,1,layered_block,shift,persistent,16,16
4,206041,209917,16,0,1,layered_block,shift,persistent,16,16
5,210041,214042,16,0,1,layered_block,shift,persistent,16,16
6,202458,206333,16,0,1,layered_block,shift,persistent,16,16
7,209500,213459,16,0,1,layered_block,shift,persistent,16,16
8,205208,209167,16,0,1,layered_block,shift,persistent,16,16
9,203083,207042,16,0,1,layered_block,shift,persistent,16,16
10,202542,206459,16,0,1,layered_block,shift,persistent,16,16
11,212791,216708,16,0,1,layered_block,shift,persistent,16,16
12,202084,205958,16,0,1,layered_block,shift,persistent,16,16
13,196916,200750,16,0,1,layered_block,shift,persistent,16,16
14,207667,211583,16,0,1,layered_block,shift,persistent,16,16
15,210042,213875,16,0,1,layered_block,shift,persistent,16,16
16,260459,264625,16,0,1,layered_block,shift,persistent,16,16
17,215167,219084,16,0,1,layered_block,shift,persistent,16,16
18,240292,244375,16,0,1,layered_block,shift,persistent,16,16
19,203291,207167,16,0,1,layered_block,shift,persistent,16,16
20,259083,263167,16,0,1,layered_block,shift,persistent,16,16
21,225000,228917,16,0,1,layered_block,shift,persistent,16,16
22,217167,221083,16,0,1,layered_block,shift,persistent,16,16
23,219208,223083,16,0,1,layered_block,shift,persistent,16,16
24,231625,235500,16,0,1,layered_block,shift,persistent,16,16
25,228708,232542,16,0,1,layered_block,shift,persistent,16,16
26,220458,224375,16,0,1,layered_block,shift,persistent,16,16
27,243583,247834,16,0,1,layered_block,shift,persistent,16,16
28,209500,213417,16,0,1,layered_block,shift,persistent,16,16
29,244917,248959,16,0,1,layered_block,shift,persistent,16,16
30,215375,223792,16,0,1,layered_block,shift,persistent,16,16
31,217583,221583,16,0,1,layered_block,shift,persistent,16,16
32,213625,221542,16,0,1,layered_block,shift,persistent,16,16
33,209375,213292,16,0,1,layered_block,shift,persistent,16,16
34,214375,218208,16,0,1,layered_block,shift,persistent,16,16
35,213500,217500,16,0,1,layered_block,shift,persistent,16,16
36,197667,201541,16,0,1,layered_block,shift,persistent,16,16
37,200084,204000,16,0,1,layered_block,shift,persistent,16,16
38,191042,194916,16,0,1,layered_block,shift,persistent,16,16
39,187292,191125,16,0,1,layered_block,shift,persistent,16,16
40,196291,200125,16,0,1,layered_block,shift,persistent,16,16
41,205167,209042,16,0,1,layered_block,shift,persistent,16,16
