block_idx,model_ns,block_ns,frames_processed,overrun,warmup
0,1268083,1275083,16,1,0
1,23458,28541,16,0,0
2,18000,22792,16,0,0
3,24750,29958,16,0,0
4,21792,27084,16,0,0
5,19459,25500,16,0,0
6,19917,25542,16,0,0
7,19042,24459,16,0,0
8,16750,21666,16,0,0
9,16750,22542,16,0,0
10,20458,25625,16,0,0
11,18250,23417,16,0,0
12,20083,25209,16,0,0
13,17084,21916,16,0,0
14,19042,24709,16,0,0
15,18416,23166,16,0,0
16,20750,26209,16,0,0
17,18709,23708,16,0,0
18,18083,22916,16,0,0
19,18916,23667,16,0,0
20,17791,22458,16,0,0
21,19792,24667,16,0,0
22,18167,23916,16,0,0
23,18792,23667,16,0,0
24,18833,23792,16,0,0
25,17959,23125,16,0,0
26,17833,23125,16,0,0
27,16541,21167,16,0,0
28,17583,23167,16,0,0
29,17667,22708,16,0,0
30,18208,23375,16,0,0
31,17125,22416,16,0,0
32,20208,26166,16,0,0
33,19958,25000,16,0,0
34,18708,24167,16,0,0
35,18125,23083,16,0,0
36,18375,23459,16,0,0
37,17583,23000,16,0,0
38,17875,23000,16,0,0
39,17958,23417,16,0,0
40,18792,23959,16,0,0
41,19875,24709,16,0,0
42,19750,24916,16,0,0
43,19750,25125,16,0,0
44,18416,23542,16,0,0
45,20167,25917,16,0,0
46,19750,24875,16,0,0
47,18375,24125,16,0,0
48,19417,24584,16,0,0
49,18208,23292,16,0,0
50,18208,23333,16,0,0
51,19458,24500,16,0,0
52,18042,23541,16,0,0
53,18209,23917,16,0,0
54,19083,24250,16,0,0
55,19334,24583,16,0,0
56,20875,26375,16,0,0
57,17917,23000,16,0,0
58,19125,24083,16,0,0
59,18625,23416,16,0,0
60,18458,23333,16,0,0
61,17333,22209,16,0,0
62,18375,23000,16,0,0
63,16542,21875,16,0,0
64,19500,24209,16,0,0
65,21542,27125,16,0,0
66,19667,25250,16,0,0
67,17750,22583,16,0,0
68,18709,23917,16,0,0
69,17375,22750,16,0,0
70,18209,24041,16,0,0
71,17417,22583,16,0,0
72,18541,24500,16,0,0
73,17917,22667,16,0,0
74,17292,22417,16,0,0
75,19083,24292,16,0,0
76,18542,23875,16,0,0
77,21000,26083,16,0,0
78,22166,27750,16,0,0
79,19792,25167,16,0,0
80,19958,24958,16,0,0
81,18375,23084,16,0,0
82,17667,22833,16,0,0
83,19583,25125,16,0,0
84,18541,23458,16,0,0
85,19041,24625,16,0,0
86,18708,23583,16,0,0
87,19458,25792,16,0,0
88,20667,26416,16,0,0
89,17792,22375,16,0,0
90,18667,24625,16,0,0
91,20833,26291,16,0,0
92,21292,26917,16,0,0
93,20458,25333,16,0,0
94,18333,23000,16,0,0
95,21333,27000,16,0,0
96,21709,27375,16,0,0
97,20834,26208,16,0,0
98,23000,27667,16,0,0
99,19375,24833,16,0,0
100,19750,25458,16,0,0
101,21875,26875,16,0,0
102,19625,25583,16,0,0
103,21709,26709,16,0,0
104,20875,26000,16,0,0
105,20000,25167,16,0,0
106,23542,29167,16,0,0
107,21541,26875,16,0,0
108,22125,27583,16,0,0
109,22959,29458,16,0,0
110,21333,27083,16,0,0
111,20333,25125,16,0,0
112,22292,28167,16,0,0
113,19625,25250,16,0,0
114,16833,21750,16,0,0
115,19458,24750,16,0,0
116,20792,26083,16,0,0
117,22916,28375,16,0,0
118,18833,23709,16,0,0
119,20833,26209,16,0,0
120,22875,28625,16,0,0
121,19542,24292,16,0,0
122,22417,28541,16,0,0
123,23417,29250,16,0,0
124,20750,26791,16,0,0
125,20708,26334,16,0,0
126,19542,24875,16,0,0
127,17916,22583,16,0,0
128,17833,22417,16,0,0
129,16167,20791,16,0,0
130,14291,19291,16,0,0
131,20250,27041,16,0,0
132,19000,24375,16,0,0
133,17458,22625,16,0,0
134,20583,25417,16,0,0
135,17458,22375,16,0,0
136,18250,23166,16,0,0
137,19209,25250,16,0,0
138,21958,27000,16,0,0
139,19459,25208,16,0,0
140,21875,28000,16,0,0
141,20208,25125,16,0,0
142,24208,30666,16,0,0
143,20333,25334,16,0,0
144,18208,22792,16,0,0
145,21417,27459,16,0,0
146,19583,24917,16,0,0
147,18542,24084,16,0,0
148,21167,26416,16,0,0
149,20166,25333,16,0,0
150,20292,25209,16,0,0
151,18250,23208,16,0,0
152,21584,26959,16,0,0
153,19458,25875,16,0,0
154,17125,22500,16,0,0
155,17292,21959,16,0,0
156,16708,21375,16,0,0
157,19000,24209,16,0,0
158,17750,22958,16,0,0
159,19667,25333,16,0,0
160,20042,25250,16,0,0
161,19875,25041,16,0,0
162,20458,25709,16,0,0
163,21458,26542,16,0,0
164,20083,26750,16,0,0
165,17458,22750,16,0,0
166,20834,25958,16,0,0
167,18666,24041,16,0,0
168,19250,24625,16,0,0
169,18792,23833,16,0,0
170,19208,24667,16,0,0
171,16958,22042,16,0,0
172,18708,23625,16,0,0
173,17459,22875,16,0,0
174,16958,22000,16,0,0
175,17250,23375,16,0,0
176,16625,21250,16,0,0
177,18375,23042,16,0,0
178,16625,21375,16,0,0
179,17042,22750,16,0,0
180,17583,22709,16,0,0
181,17500,22833,16,0,0
182,19250,24209,16,0,0
183,19083,23625,16,0,0
184,17083,21792,16,0,0
185,17625,22666,16,0,0
186,19958,26167,16,0,0
187,18416,23666,16,0,0
188,18292,23416,16,0,0
189,20417,25250,16,0,0
190,18917,24542,16,0,0
191,18791,24583,16,0,0
192,20583,26125,16,0,0
193,25208,30667,16,0,0
194,18959,24500,16,0,0
195,18125,22958,16,0,0
196,19584,24916,16,0,0
197,22959,29750,16,0,0
198,16375,22125,16,0,0
199,16875,22375,16,0,0
200,18334,24083,16,0,0
201,17000,22500,16,0,0
202,17417,22625,16,0,0
203,18875,24084,16,0,0
204,16458,21583,16,0,0
205,17666,23792,16,0,0
206,16500,21833,16,0,0
207,16250,21625,16,0,0
208,23875,30292,16,0,0
209,18750,24417,16,0,0
210,22750,27500,16,0,0
211,19208,24458,16,0,0
212,18833,24125,16,0,0
213,19916,24917,16,0,0
214,25666,32292,16,0,0
215,16833,21958,16,0,0
216,18709,24875,16,0,0
217,19458,25250,16,0,0
218,23041,28917,16,0,0
219,19917,26167,16,0,0
220,16625,22000,16,0,0
221,20167,24917,16,0,0
222,20916,26625,16,0,0
223,20208,26417,16,0,0
224,20833,25917,16,0,0
225,20375,26417,16,0,0
226,18708,24458,16,0,0
227,18375,23250,16,0,0
228,19959,25292,16,0,0
229,20000,25375,16,0,0
230,24042,30584,16,0,0
231,18000,23208,16,0,0
232,17500,22875,16,0,0
233,22250,27792,16,0,0
234,20500,26625,16,0,0
235,16916,21958,16,0,0
236,21750,26875,16,0,0
237,19125,25000,16,0,0
238,19750,25458,16,0,0
239,18208,23583,16,0,0
240,21583,27041,16,0,0
241,20625,26833,16,0,0
242,18084,23125,16,0,0
243,19500,25750,16,0,0
244,17375,22667,16,0,0
245,23042,28666,16,0,0
246,21167,26750,16,0,0
247,18833,24083,16,0,0
248,19250,24042,16,0,0
249,17750,23000,16,0,0
250,19833,24875,16,0,0
251,18750,23959,16,0,0
252,24000,31125,16,0,0
253,17042,21875,16,0,0
254,25166,30625,16,0,0
255,23417,28375,16,0,0
256,21084,26792,16,0,0
257,18959,23917,16,0,0
258,21667,26333,16,0,0
259,22875,28042,16,0,0
260,20541,26542,16,0,0
261,19208,24375,16,0,0
262,23667,29291,16,0,0
263,24417,32208,16,0,0
264,16666,21666,16,0,0
265,21542,27000,16,0,0
266,21000,27333,16,0,0
267,21917,26833,16,0,0
268,21750,27458,16,0,0
269,19208,24958,16,0,0
270,19750,25125,16,0,0
271,22167,27625,16,0,0
272,21833,27417,16,0,0
273,20958,25875,16,0,0
274,24083,31041,16,0,0
275,16542,22083,16,0,0
276,21792,26750,16,0,0
277,22292,28625,16,0,0
278,20458,26375,16,0,0
279,17583,23625,16,0,0
280,21125,26208,16,0,0
281,21000,26583,16,0,0
282,16417,22167,16,0,0
283,16417,22334,16,0,0
284,19875,24750,16,0,0
285,22916,29542,16,0,0
286,17750,22542,16,0,0
287,18542,23500,16,0,0
288,20208,25125,16,0,0
289,18333,23125,16,0,0
290,18917,24208,16,0,0
291,22209,27541,16,0,0
292,19167,25375,16,0,0
293,15708,21417,16,0,0
294,15792,21125,16,0,0
295,21000,26375,16,0,0
296,25958,33125,16,0,0
297,16500,21666,16,0,0
298,20375,25500,16,0,0
299,22792,27833,16,0,0
300,23292,27958,16,0,0
301,19959,25250,16,0,0
302,17917,22791,16,0,0
303,22042,27583,16,0,0
304,20459,26709,16,0,0
305,20042,26250,16,0,0
306,20167,25583,16,0,0
307,25416,33167,16,0,0
308,18042,23333,16,0,0
309,22084,27916,16,0,0
310,23417,29375,16,0,0
311,18708,23959,16,0,0
312,21791,27458,16,0,0
313,19625,24542,16,0,0
314,21000,25958,16,0,0
315,21875,27125,16,0,0
316,22333,27292,16,0,0
317,20250,25584,16,0,0
318,144708,151542,16,0,0
319,19334,24583,16,0,0
320,23333,28542,16,0,0
321,21333,26166,16,0,0
322,22167,27625,16,0,0
323,21833,27250,16,0,0
324,19875,24458,16,0,0
325,22125,27667,16,0,0
326,21291,28125,16,0,0
327,19667,25208,16,0,0
328,21167,25916,16,0,0
329,165125,170292,16,0,0
330,18792,24333,16,0,0
331,19458,24417,16,0,0
332,20333,25625,16,0,0
333,19083,24500,16,0,0
334,19458,25209,16,0,0
335,23834,29458,16,0,0
336,20875,26083,16,0,0
337,18250,23375,16,0,0
338,18125,23917,16,0,0
339,20542,26083,16,0,0
340,20833,161833,16,0,0
341,21250,26375,16,0,0
342,23375,28541,16,0,0
343,20917,26084,16,0,0
344,22791,28000,16,0,0
345,17917,23166,16,0,0
346,18458,23333,16,0,0
347,17750,23042,16,0,0
348,17750,22875,16,0,0
349,20958,25667,16,0,0
350,22500,28000,16,0,0
351,21750,27042,16,0,0
352,21375,27000,16,0,0
353,19792,25500,16,0,0
354,20250,25875,16,0,0
355,18291,23708,16,0,0
356,18500,23917,16,0,0
357,22250,27125,16,0,0
358,21042,26208,16,0,0
359,18208,24000,16,0,0
360,18875,24000,16,0,0
361,17708,22792,16,0,0
362,19458,24125,16,0,0
363,22875,28500,16,0,0
364,20583,25875,16,0,0
365,18417,23208,16,0,0
366,20291,25833,16,0,0
367,21292,26667,16,0,0
368,20916,26208,16,0,0
369,19334,24416,16,0,0
370,19333,24250,16,0,0
371,19708,25208,16,0,0
372,19167,24333,16,0,0
373,19541,24709,16,0,0
374,20250,25916,16,0,0
375,19334,24459,16,0,0
376,18500,23417,16,0,0
377,19375,24542,16,0,0
378,21000,26209,16,0,0
379,21250,26875,16,0,0
380,20667,26583,16,0,0
381,19083,24459,16,0,0
382,20000,24958,16,0,0
383,19125,24583,16,0,0
384,18083,23000,16,0,0
385,20000,25417,16,0,0
386,19750,24667,16,0,0
387,18584,23791,16,0,0
388,19250,24417,16,0,0
389,17625,23250,16,0,0
390,18291,23041,16,0,0
391,17875,22875,16,0,0
392,19208,24708,16,0,0
393,16292,20916,16,0,0
394,19000,24083,16,0,0
395,18333,23000,16,0,0
396,20250,25166,16,0,0
397,17916,22834,16,0,0
398,17625,23000,16,0,0
399,17500,23167,16,0,0
400,17584,23000,16,0,0
401,19208,24625,16,0,0
402,20417,25583,16,0,0
403,20625,25542,16,0,0
404,16958,21708,16,0,0
405,19334,24583,16,0,0
406,18792,23917,16,0,0
407,20583,25875,16,0,0
408,19542,25417,16,0,0
409,20625,25292,16,0,0
410,16458,21125,16,0,0
411,18750,23958,16,0,0
412,18500,23708,16,0,0
413,20000,25083,16,0,0
414,19667,24625,16,0,0
415,16708,21708,16,0,0
416,16917,21625,16,0,0
417,19208,24541,16,0,0
418,20459,25875,16,0,0
419,22500,27334,16,0,0
420,21917,27083,16,0,0
421,20291,25417,16,0,0
422,19166,24166,16,0,0
423,17209,22125,16,0,0
424,18208,23000,16,0,0
425,17292,22291,16,0,0
426,17583,22625,16,0,0
427,16917,22083,16,0,0
428,18834,23375,16,0,0
429,20042,25250,16,0,0
430,18500,23500,16,0,0
431,19750,24625,16,0,0
432,21333,26750,16,0,0
433,17792,22875,16,0,0
434,17333,22083,16,0,0
435,16833,22083,16,0,0
436,17833,23041,16,0,0
437,17125,22042,16,0,0
438,17875,23875,16,0,0
439,17792,22375,16,0,0
440,21167,26291,16,0,0
441,19250,24625,16,0,0
442,19458,24417,16,0,0
443,18500,23584,16,0,0
444,18583,23334,16,0,0
445,18375,23375,16,0,0
446,17042,22209,16,0,0
447,17209,22125,16,0,0
448,18250,23792,16,0,0
449,18875,24334,16,0,0
450,17000,21959,16,0,0
451,19292,24500,16,0,0
452,18750,24375,16,0,0
453,19292,24167,16,0,0
454,18583,24125,16,0,0
455,18917,24084,16,0,0
456,19500,24541,16,0,0
457,17417,22583,16,0,0
458,17125,22042,16,0,0
459,17709,22875,16,0,0
460,17708,22625,16,0,0
461,17875,23417,16,0,0
462,20875,25917,16,0,0
463,17750,23583,16,0,0
464,19833,25958,16,0,0
465,19625,24750,16,0,0
466,19167,24125,16,0,0
467,20834,25708,16,0,0
468,19000,23667,16,0,0
469,18125,23041,16,0,0
470,18958,24125,16,0,0
471,18167,23542,16,0,0
472,17417,22417,16,0,0
473,21291,26708,16,0,0
474,22042,27167,16,0,0
475,20959,26292,16,0,0
476,20417,25125,16,0,0
477,17667,23084,16,0,0
478,17750,23291,16,0,0
479,19375,25375,16,0,0
480,19625,24833,16,0,0
481,20167,25541,16,0,0
482,18334,23250,16,0,0
483,18500,23750,16,0,0
484,19750,24625,16,0,0
485,19250,23958,16,0,0
486,18459,23583,16,0,0
487,18458,23666,16,0,0
488,18875,23833,16,0,0
489,19958,25458,16,0,0
490,19250,24500,16,0,0
491,16833,21792,16,0,0
492,19875,24791,16,0,0
493,20875,25667,16,0,0
494,20791,25917,16,0,0
495,19084,24750,16,0,0
496,22167,27083,16,0,0
497,21417,26625,16,0,0
498,21708,26917,16,0,0
499,20708,26792,16,0,0
500,19250,24417,16,0,0
501,22166,28208,16,0,0
502,19833,25333,16,0,0
503,19625,25000,16,0,0
504,22083,28375,16,0,0
505,18417,24042,16,0,0
506,23459,29125,16,0,0
507,21292,26375,16,0,0
508,18375,23167,16,0,0
509,18000,23375,16,0,0
510,17333,22250,16,0,0
511,23291,28458,16,0,0
512,20208,25250,16,0,0
513,20084,25375,16,0,0
514,21750,27083,16,0,0
515,18208,24458,16,0,0
516,17833,23125,16,0,0
517,19917,24625,16,0,0
518,19958,24667,16,0,0
519,22583,27458,16,0,0
520,22250,27500,16,0,0
521,23125,28250,16,0,0
522,19708,25250,16,0,0
523,21917,27458,16,0,0
524,23375,28292,16,0,0
525,19750,25625,16,0,0
526,21167,28125,16,0,0
527,19709,25125,16,0,0
528,21125,27084,16,0,0
529,21250,26916,16,0,0
530,20875,25833,16,0,0
531,24417,30250,16,0,0
532,20042,25208,16,0,0
533,23791,30291,16,0,0
534,21541,27334,16,0,0
535,21084,26583,16,0,0
536,21125,27209,16,0,0
537,20000,25416,16,0,0
538,20333,25084,16,0,0
539,22792,28833,16,0,0
540,19292,25250,16,0,0
541,19708,25125,16,0,0
542,19875,25666,16,0,0
543,21958,27833,16,0,0
544,21333,27000,16,0,0
