block_idx,model_ns,block_ns,frames_processed,overrun,warmup,execution_mode,history_mode,scratch_mode,inference_chunk_frames,effective_chunk_frames
0,168583,172500,16,0,1,fused_streaming,shift,per_chunk,0,16
1,184958,188958,16,0,1,fused_streaming,shift,per_chunk,0,16
2,194375,198250,16,0,1,fused_streaming,shift,per_chunk,0,16
3,206125,210166,16,0,1,fused_streaming,shift,per_chunk,0,16
4,198333,202291,16,0,1,fused_streaming,shift,per_chunk,0,16
5,202875,206834,16,0,1,fused_streaming,shift,per_chunk,0,16
6,204959,208917,16,0,1,fused_streaming,shift,per_chunk,0,16
7,201791,205709,16,0,1,fused_streaming,shift,per_chunk,0,16
8,203583,207583,16,0,1,fused_streaming,shift,per_chunk,0,16
9,195083,199000,16,0,1,fused_streaming,shift,per_chunk,0,16
10,200708,204750,16,0,1,fused_streaming,shift,per_chunk,0,16
11,204125,212917,16,0,1,fused_streaming,shift,per_chunk,0,16
12,199166,203333,16,0,1,fused_streaming,shift,per_chunk,0,16
13,198541,202584,16,0,1,fused_streaming,shift,per_chunk,0,16
14,200083,204000,16,0,1,fused_streaming,shift,per_chunk,0,16
15,213541,217542,16,0,1,fused_streaming,shift,per_chunk,0,16
16,206333,210167,16,0,1,fused_streaming,shift,per_chunk,0,16
17,206750,210667,16,0,1,fused_streaming,shift,per_chunk,0,16
18,205417,209417,16,0,1,fused_streaming,shift,per_chunk,0,16
19,200917,204833,16,0,1,fused_streaming,shift,per_chunk,0,16
20,219375,223334,16,0,1,fused_streaming,shift,per_chunk,0,16
21,222250,226292,16,0,1,fused_streaming,shift,per_chunk,0,16
22,209209,213125,16,0,1,fused_streaming,shift,per_chunk,0,16
23,210250,214166,16,0,1,fused_streaming,shift,per_chunk,0,16
24,229667,233750,16,0,1,fused_streaming,shift,per_chunk,0,16
25,227750,231667,16,0,1,fused_streaming,shift,per_chunk,0,16
26,219958,223958,16,0,1,fused_streaming,shift,per_chunk,0,16
27,204042,207958,16,0,1,fused_streaming,shift,per_chunk,0,16
28,209583,213625,16,0,1,fused_streaming,shift,per_chunk,0,16
29,210542,214500,16,0,1,fused_streaming,shift,per_chunk,0,16
30,212791,216709,16,0,1,fused_streaming,shift,per_chunk,0,16
31,217334,221375,16,0,1,fused_streaming,shift,per_chunk,0,16
32,217875,221834,16,0,1,fused_streaming,shift,per_chunk,0,16
33,206459,210417,16,0,1,fused_streaming,shift,per_chunk,0,16
34,212042,215958,16,0,1,fused_streaming,shift,per_chunk,0,16
35,211958,216000,16,0,1,fused_streaming,shift,per_chunk,0,16
36,194334,198334,16,0,1,fused_streaming,shift,per_chunk,0,16
37,197958,202125,16,0,1,fused_streaming,shift,per_chunk,0,16
38,187167,191083,16,0,1,fused_streaming,shift,per_chunk,0,16
39,189875,194000,16,0,1,fused_streaming,shift,per_chunk,0,16
40,192959,196959,16,0,1,fused_streaming,shift,per_chunk,0,16
41,256334,260542,16,0,1,fused_streaming,shift,per_chunk,0,16
42,213167,217083,16,0,1,fused_streaming,shift,per_chunk,0,16
43,214834,218917,16,0,1,fused_streaming,shift,per_chunk,0,16
44,281166,285584,16,0,1,fused_streaming,shift,per_chunk,0,16
45,219250,223292,16,0,1,fused_streaming,shift,per_chunk,0,16
46,205750,209667,16,0,1,fused_streaming,shift,per_chunk,0,16
47,262125,266583,16,0,1,fused_streaming,shift,per_chunk,0,16
48,225417,229417,16,0,1,fused_streaming,shift,per_chunk,0,16
49,218416,222459,16,0,1,fused_streaming,shift,per_chunk,0,16
50,215500,219458,16,0,1,fused_streaming,shift,per_chunk,0,16
51,226083,230166,16,0,1,fused_streaming,shift,per_chunk,0,16
52,232500,236416,16,0,1,fused_streaming,shift,per_chunk,0,16
53,230250,234291,16,0,1,fused_streaming,shift,per_chunk,0,16
54,223042,227083,16,0,1,fused_streaming,shift,per_chunk,0,16
55,209584,213542,16,0,1,fused_streaming,shift,per_chunk,0,16
56,212833,217000,16,0,1,fused_streaming,shift,per_chunk,0,16
57,190125,194083,16,0,1,fused_streaming,shift,per_chunk,0,16
58,199583,203708,16,0,1,fused_streaming,shift,per_chunk,0,16
59,202583,206541,16,0,1,fused_streaming,shift,per_chunk,0,16
60,207208,211291,16,0,1,fused_streaming,shift,per_chunk,0,16
61,208167,212166,16,0,1,fused_streaming,shift,per_chunk,0,16
62,259666,263834,16,0,1,fused_streaming,shift,per_chunk,0,16
63,210875,214959,16,0,1,fused_streaming,shift,per_chunk,0,16
