status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
ok,conv1d_basic,small,4,4,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,114.84,114840000.000000,76,64,35,7,0,0,1,32,0,0,
ok,conv1d_basic,small,4,4,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,126.09,126090000.000000,91,79,34,7,0,0,1,48,0,0,
ok,conv1d_basic,small,4,4,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,107.57,107570000.000000,84,72,35,7,0,0,1,40,0,0,
ok,conv1d_basic,small,4,4,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,120.35,120350000.000000,99,87,34,7,0,0,1,56,0,0,
ok,conv1d_basic,small,4,4,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,114.84,114840000.000000,92,80,35,7,0,0,1,48,0,0,
ok,conv1d_basic,small,4,4,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,121.27,121270000.000000,107,95,34,7,0,0,1,64,0,0,
ok,conv1d_basic,small,4,6,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,114.84,114840000.000000,76,64,35,7,0,0,1,32,0,0,
ok,conv1d_basic,small,4,6,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,126.09,126090000.000000,91,79,34,7,0,0,1,48,0,0,
ok,conv1d_basic,small,4,6,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,107.57,107570000.000000,84,72,35,7,0,0,1,40,0,0,
ok,conv1d_basic,small,4,6,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,120.35,120350000.000000,99,87,34,7,0,0,1,56,0,0,
ok,conv1d_basic,small,4,6,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,114.84,114840000.000000,92,80,35,7,0,0,1,48,0,0,
ok,conv1d_basic,small,4,6,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,121.27,121270000.000000,107,95,34,7,0,0,1,64,0,0,
ok,conv1d_basic,small,4,8,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,114.84,114840000.000000,76,64,35,7,0,0,1,32,0,0,
ok,conv1d_basic,small,4,8,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,126.09,126090000.000000,91,79,34,7,0,0,1,48,0,0,
ok,conv1d_basic,small,4,8,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,107.57,107570000.000000,84,72,35,7,0,0,1,40,0,0,
