target_device,target_package,target_freq_mhz,status,design,architecture,sample_width,weight_width,acc_width,kernel_taps,dilation,latency_cycles,steady_cycles_per_sample,finite_cycles_per_sample,steady_samples_per_sec_at_target_clock,finite_samples_per_sec_at_target_clock,max_clock_mhz,max_theoretical_samples_per_sec,total_cells,icestorm_lc,sb_lut4,sb_carry,sb_dff,sb_dffe,sb_dffsr,sb_dffesr,sb_dffess,sb_mac16,error
--hx8k,ct256,25,ok,conv1d_basic,small,4,4,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,136.31,136310000.000000,76,64,35,7,0,0,1,32,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,4,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,152.46,152460000.000000,91,79,34,7,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,4,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,96.63,96630000.000000,84,72,35,7,0,0,1,40,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,4,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,111.83,111830000.000000,99,87,34,7,0,0,1,56,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,4,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,97.48,97480000.000000,92,80,35,7,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,4,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,107.98,107980000.000000,107,95,34,7,0,0,1,64,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,6,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,136.31,136310000.000000,76,64,35,7,0,0,1,32,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,6,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,152.46,152460000.000000,91,79,34,7,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,6,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,96.63,96630000.000000,84,72,35,7,0,0,1,40,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,6,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,111.83,111830000.000000,99,87,34,7,0,0,1,56,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,6,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,97.48,97480000.000000,92,80,35,7,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,6,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,107.98,107980000.000000,107,95,34,7,0,0,1,64,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,8,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,136.31,136310000.000000,76,64,35,7,0,0,1,32,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,8,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,152.46,152460000.000000,91,79,34,7,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,8,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,96.63,96630000.000000,84,72,35,7,0,0,1,40,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,8,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,111.83,111830000.000000,99,87,34,7,0,0,1,56,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,8,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,97.48,97480000.000000,92,80,35,7,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,4,8,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,107.98,107980000.000000,107,95,34,7,0,0,1,64,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,4,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,131.79,131790000.000000,104,86,51,11,0,0,1,40,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,4,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,146.82,146820000.000000,127,109,50,11,0,0,1,64,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,4,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,98.90,98900000.000000,112,94,51,11,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,4,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,112.04,112040000.000000,135,117,50,11,0,0,1,72,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,4,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,91.42,91420000.000000,120,102,51,11,0,0,1,56,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,4,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,96.02,96020000.000000,143,125,50,11,0,0,1,80,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,6,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,131.79,131790000.000000,104,86,51,11,0,0,1,40,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,6,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,146.82,146820000.000000,127,109,50,11,0,0,1,64,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,6,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,98.90,98900000.000000,112,94,51,11,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,6,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,112.04,112040000.000000,135,117,50,11,0,0,1,72,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,6,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,91.42,91420000.000000,120,102,51,11,0,0,1,56,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,6,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,96.02,96020000.000000,143,125,50,11,0,0,1,80,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,8,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,131.79,131790000.000000,104,86,51,11,0,0,1,40,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,8,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,146.82,146820000.000000,127,109,50,11,0,0,1,64,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,8,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,98.90,98900000.000000,112,94,51,11,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,8,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,112.04,112040000.000000,135,117,50,11,0,0,1,72,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,8,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,91.42,91420000.000000,120,102,51,11,0,0,1,56,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,6,8,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,96.02,96020000.000000,143,125,50,11,0,0,1,80,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,8,4,16,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,114.65,114650000.000000,132,108,67,15,0,0,1,48,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,8,4,16,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,131.06,131060000.000000,163,139,66,15,0,0,1,80,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,8,4,24,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,92.76,92760000.000000,140,116,67,15,0,0,1,56,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,8,4,24,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,97.90,97900000.000000,171,147,66,15,0,0,1,88,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,8,4,32,5,1,1,1.000000,1.005000,25000000.000000,24875621.890547,85.87,85870000.000000,148,124,67,15,0,0,1,64,0,0,
--hx8k,ct256,25,ok,conv1d_basic,small,8,4,32,5,2,1,1.000000,1.005000,25000000.000000,24875621.890547,98.49,98490000.000000,179,155,66,15,0,0,1,96,0,0,
