experiment,model,checkpoint,device,chunk_size,eval_batch_size,timed_batches,avg_batch_ms,min_batch_ms,max_batch_ms,avg_sample_us,samples_per_second,nmse_percent,num_parameters,model_dilation,model_hidden_channels,model_hidden_size,model_input_channels,model_input_size,model_kernel_size,model_num_blocks,model_num_layers,model_output_channels,model_output_size,model_size_mb_fp32,realtime_budget_us_per_sample,realtime_load_pct,headroom_x,max_realtime_sample_rate_hz,chunk_budget_ms_at_44k,chunk_budget_utilization_pct_at_44k,is_realtime_viable_44k,viability_tier
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1415374223142862,0.112249981611967,0.2770409919321537,0.0086387586861746,115757371.66965675,12.30233087166632,57,1.0,8.0,,1.0,,3.0,1.0,,1.0,,0.000217437744140625,22.675736961451246,0.03809692580602998,2624.8837113301142,115757371.66965805,371.51927437641723,0.038096925806030406,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.3222625469788909,0.2159168943762779,0.8707917295396328,0.0196693449083795,50840534.0725902,2.009357853429765,257,1.0,8.0,,1.0,,3.0,2.0,,1.0,,0.000980377197265625,22.675736961451246,0.08674181104595359,1152.8465776097592,50840534.07259038,371.51927437641723,0.08674181104595391,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2721936907619238,0.2330420538783073,0.334625132381916,0.0166133844459182,60192431.18434507,0.5563745109068856,457,1.0,8.0,,1.0,,3.0,3.0,,1.0,,0.001743316650390625,22.675736961451246,0.07326502540649926,1364.9077366064641,60192431.18434507,371.51927437641723,0.07326502540649926,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.131989549845457,0.1107077114284038,0.1664157025516033,0.0080560027981846,124131039.30715404,6.706596345379923,57,2.0,8.0,,1.0,,3.0,1.0,,1.0,,0.000217437744140625,22.675736961451246,0.035526972339994085,2814.762796080603,124131039.3071546,371.51927437641723,0.035526972339994224,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-2_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-2_num_blocks-2/best.pt,mps,16384,1,20,0.2038144273683428,0.1774579286575317,0.3170832060277462,0.012439845420431,80386850.97787546,0.4190937948641618,257,2.0,8.0,,1.0,,3.0,2.0,,1.0,,0.000980377197265625,22.675736961451246,0.05485971830410071,1822.831087933696,80386850.977876,371.51927437641723,0.05485971830410106,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-2_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-3_dilation-2_num_blocks-3/best.pt,mps,16384,1,20,0.2513958606868982,0.2191253006458282,0.2891253679990768,0.015343985637628,65172115.22589668,0.4591020266572174,457,2.0,8.0,,1.0,,3.0,3.0,,1.0,,0.001743316650390625,22.675736961451246,0.06766697666193948,1477.825742083831,65172115.225896955,371.51927437641723,0.06766697666193976,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-1_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-1_num_blocks-1/best.pt,mps,16384,1,20,0.1238896744325757,0.0960407778620719,0.1962920650839805,0.0075616256367538,132246695.09416331,4.130812009537912,89,1.0,8.0,,1.0,,5.0,1.0,,1.0,,0.000339508056640625,22.675736961451246,0.03334676905808426,2998.7912719765277,132246695.09416486,371.51927437641723,0.03334676905808465,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-1_num_blocks-2,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-1_num_blocks-2/best.pt,mps,16384,1,20,0.1728333765640854,0.1609171740710735,0.2037091180682182,0.010548912143804,94796504.73602198,0.580234019640083,417,1.0,8.0,,1.0,,5.0,2.0,,1.0,,0.001590728759765625,22.675736961451246,0.04652070255417565,2149.580606259011,94796504.73602238,371.51927437641723,0.04652070255417582,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-1_num_blocks-3,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-1_num_blocks-3/best.pt,mps,16384,1,20,0.2175146248191595,0.2065841108560562,0.2720830962061882,0.0132760391124975,75323670.82729067,0.7147388925568304,745,1.0,8.0,,1.0,,5.0,3.0,,1.0,,0.002841949462890625,22.675736961451246,0.05854733248611398,1708.0197466505856,75323670.82729083,371.51927437641723,0.0585473324861141,True,strong_headroom
tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-2_num_blocks-1,tcn,models/checkpoints/tcn_input_channels-1_output_channels-1_hidden_channels-8_kernel_size-5_dilation-2_num_blocks-1/best.pt,mps,16384,1,20,0.1048041507601738,0.0942503102123737,0.1573329791426658,0.0063967377172957,156329686.19241002,3.3951997327918644,89,2.0,8.0,,1.0,,5.0,1.0,,1.0,,0.000339508056640625,22.675736961451246,0.028209613333274035,3544.890843365342,156329686.1924116,371.51927437641723,0.02820961333327432,True,strong_headroom
