Effect,Channels,Layers,Kernel,Params,ESR%,MSE,Model_File
exciter,16,6,7,9185,27.76,0.003484,exciter_tcn_c16_l6_k7.pt
exciter,16,6,15,19553,19.67,0.002469,exciter_tcn_c16_l6_k15.pt
exciter,16,6,31,40289,23.04,0.002892,exciter_tcn_c16_l6_k31.pt
exciter,16,8,7,12801,26.82,0.003366,exciter_tcn_c16_l8_k7.pt
exciter,16,8,15,27265,20.42,0.002563,exciter_tcn_c16_l8_k15.pt
exciter,16,8,31,56193,121.10,0.015202,exciter_tcn_c16_l8_k31.pt
exciter,16,10,7,16417,13.67,0.001716,exciter_tcn_c16_l10_k7.pt
exciter,16,10,15,34977,22.75,0.002856,exciter_tcn_c16_l10_k15.pt
exciter,16,10,31,72097,35.01,0.004394,exciter_tcn_c16_l10_k31.pt
exciter,16,12,7,20033,21.46,0.002694,exciter_tcn_c16_l12_k7.pt
exciter,16,12,15,42689,28.10,0.003527,exciter_tcn_c16_l12_k15.pt
exciter,16,12,31,88001,105.28,0.013215,exciter_tcn_c16_l12_k31.pt
exciter,24,6,7,20497,27.14,0.003406,exciter_tcn_c24_l6_k7.pt
exciter,24,6,15,43729,14.61,0.001834,exciter_tcn_c24_l6_k15.pt
exciter,24,6,31,90193,21.73,0.002728,exciter_tcn_c24_l6_k31.pt
exciter,24,8,7,28609,13.22,0.001660,exciter_tcn_c24_l8_k7.pt
exciter,24,8,15,61057,17.01,0.002135,exciter_tcn_c24_l8_k15.pt
exciter,24,8,31,125953,18.64,0.002340,exciter_tcn_c24_l8_k31.pt
exciter,24,10,7,36721,16.37,0.002054,exciter_tcn_c24_l10_k7.pt
exciter,24,10,15,78385,19.00,0.002385,exciter_tcn_c24_l10_k15.pt
exciter,24,10,31,161713,17.22,0.002162,exciter_tcn_c24_l10_k31.pt
exciter,24,12,7,44833,15.96,0.002003,exciter_tcn_c24_l12_k7.pt
exciter,24,12,15,95713,23.11,0.002901,exciter_tcn_c24_l12_k15.pt
exciter,24,12,31,197473,39.67,0.004979,exciter_tcn_c24_l12_k31.pt
exciter,32,6,7,36289,17.50,0.002196,exciter_tcn_c32_l6_k7.pt
exciter,32,6,15,77505,17.40,0.002184,exciter_tcn_c32_l6_k15.pt
exciter,32,6,31,159937,19.89,0.002497,exciter_tcn_c32_l6_k31.pt
exciter,32,8,7,50689,16.38,0.002056,exciter_tcn_c32_l8_k7.pt
exciter,32,8,15,108289,16.55,0.002077,exciter_tcn_c32_l8_k15.pt
exciter,32,8,31,223489,22.05,0.002768,exciter_tcn_c32_l8_k31.pt
exciter,32,10,7,65089,12.59,0.001580,exciter_tcn_c32_l10_k7.pt
exciter,32,10,15,139073,15.49,0.001945,exciter_tcn_c32_l10_k15.pt
exciter,32,10,31,287041,23.05,0.002894,exciter_tcn_c32_l10_k31.pt
exciter,32,12,7,79489,11.62,0.001459,exciter_tcn_c32_l12_k7.pt
exciter,32,12,15,169857,17.73,0.002226,exciter_tcn_c32_l12_k15.pt
exciter,32,12,31,350593,37.55,0.004714,exciter_tcn_c32_l12_k31.pt
exciter,48,6,7,81313,12.80,0.001606,exciter_tcn_c48_l6_k7.pt
exciter,48,6,15,173857,10.52,0.001321,exciter_tcn_c48_l6_k15.pt
exciter,48,6,31,358945,108.26,0.013590,exciter_tcn_c48_l6_k31.pt
exciter,48,8,7,113665,7.32,0.000918,exciter_tcn_c48_l8_k7.pt
exciter,48,8,15,243073,17.09,0.002145,exciter_tcn_c48_l8_k15.pt
exciter,48,8,31,501889,100.07,0.012562,exciter_tcn_c48_l8_k31.pt
exciter,48,10,7,146017,5.49,0.000689,exciter_tcn_c48_l10_k7.pt
exciter,48,10,15,312289,12.88,0.001617,exciter_tcn_c48_l10_k15.pt
exciter,48,10,31,644833,110.18,0.013830,exciter_tcn_c48_l10_k31.pt
