Effect,Channels,Layers,Kernel,Params,ESR%,MSE,Model_File
exciter,4,2,5,113,13.49,0.001693,exciter_tcn_c4_l2_k5.pt
exciter,4,2,7,153,10.16,0.001275,exciter_tcn_c4_l2_k7.pt
exciter,4,4,5,281,10.05,0.001261,exciter_tcn_c4_l4_k5.pt
exciter,4,4,7,385,12.47,0.001565,exciter_tcn_c4_l4_k7.pt
exciter,8,2,5,385,7.69,0.000965,exciter_tcn_c8_l2_k5.pt
exciter,8,2,7,529,8.91,0.001118,exciter_tcn_c8_l2_k7.pt
exciter,8,4,5,1041,3.05,0.000382,exciter_tcn_c8_l4_k5.pt
exciter,8,4,7,1441,5.38,0.000675,exciter_tcn_c8_l4_k7.pt
exciter,12,2,5,817,6.98,0.000877,exciter_tcn_c12_l2_k5.pt
exciter,12,2,7,1129,3.99,0.000500,exciter_tcn_c12_l2_k7.pt
exciter,12,4,5,2281,3.14,0.000394,exciter_tcn_c12_l4_k5.pt
exciter,12,4,7,3169,2.45,0.000307,exciter_tcn_c12_l4_k7.pt
distortion,4,2,5,113,14.45,0.060285,distortion_tcn_c4_l2_k5.pt
distortion,4,2,7,153,13.31,0.055523,distortion_tcn_c4_l2_k7.pt
distortion,4,4,5,281,9.84,0.041049,distortion_tcn_c4_l4_k5.pt
distortion,4,4,7,385,9.20,0.038403,distortion_tcn_c4_l4_k7.pt
distortion,8,2,5,385,12.71,0.053033,distortion_tcn_c8_l2_k5.pt
distortion,8,2,7,529,12.08,0.050378,distortion_tcn_c8_l2_k7.pt
distortion,8,4,5,1041,8.63,0.036000,distortion_tcn_c8_l4_k5.pt
distortion,8,4,7,1441,6.44,0.026867,distortion_tcn_c8_l4_k7.pt
distortion,12,2,5,817,12.93,0.053954,distortion_tcn_c12_l2_k5.pt
distortion,12,2,7,1129,12.26,0.051154,distortion_tcn_c12_l2_k7.pt
distortion,12,4,5,2281,7.67,0.031981,distortion_tcn_c12_l4_k5.pt
distortion,12,4,7,3169,6.55,0.027347,distortion_tcn_c12_l4_k7.pt
